"book_id","authors","original_publication_year","title","language_code","small_image_url","price","description"
26,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",eng,https://images.gr-assets.com/books/1303252999s/968.jpg,13.86,"MORE THAN 80 MILLION COPIES SOLD Nominated as one of America’s best-loved novels by PBS’s The Great American Read While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter. Even more startling, the late curator was involved in the Priory of Sion—a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci—and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever."
27,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,https://images.gr-assets.com/books/1361039191s/1.jpg,18,
28,William Golding,1954,Lord of the Flies,eng,https://images.gr-assets.com/books/1327869409s/7624.jpg,11.44,"Lord of the Flies remains as provocative today as when it was first published in 1954, igniting passionate debate with its startling, brutal portrait of human nature. Though critically acclaimed, it was largely ignored upon its initial publication. Yet soon it became a cult favorite among both students and literary critics who compared it to J.D. Salinger's The Catcher in the Rye in its influence on modern thought and literature. William Golding's compelling story about a group of very ordinary small boys marooned on a coral island has become a modern classic. At first it seems as though it is all going to be great fun; but the fun before long becomes furious and life on the island turns into a nightmare of panic and death. As ordinary standards of behaviour collapse, the whole world the boys know collapses with them—the world of cricket and homework and adventure stories—and another world is revealed beneath, primitive and terrible. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies has established itself as a true classic. ""Lord of the Flies is one of my favorite books. That was a big influence on me as a teenager, I still read it every couple of years."" —Suzanne Collins, author of The Hunger Games ""As exciting, relevant, and thought-provoking now as it was when Golding published it in 1954."" —Stephen King"
29,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,eng,https://images.gr-assets.com/books/1327872146s/18135.jpg,11.17,"Offers explanatory notes on pages facing the text of the play, as well as an introduction to Shakespeare's language, life, and theater"
30,Gillian Flynn,2012,Gone Girl,eng,https://images.gr-assets.com/books/1339602131s/8442457.jpg,23.95,
31,Kathryn Stockett,2009,The Help,eng,https://images.gr-assets.com/books/1346100365s/4667024.jpg,23.57,"The #1 New York Times bestselling novel and basis for the Academy Award-winning film—a timeless and universal story about the lines we abide by, and the ones we don’t—nominated as one of America’s best-loved novels by PBS’s The Great American Read. Aibileen is a black maid in 1962 Jackson, Mississippi, who’s always taken orders quietly, but lately she’s unable to hold her bitterness back. Her friend Minny has never held her tongue but now must somehow keep secrets about her employer that leave her speechless. White socialite Skeeter just graduated college. She’s full of ambition, but without a husband, she’s considered a failure. Together, these seemingly different women join together to write a tell-all book about work as a black maid in the South, that could forever alter their destinies and the life of a small town..."
32,John Steinbeck,1937,Of Mice and Men,eng,https://images.gr-assets.com/books/1437235233s/890.jpg,23,"A controversial tale of friendship and tragedy during the Great Depression, in a deluxe centennial edition Over seventy-five years since its first publication, Steinbeck’s tale of commitment, loneliness, hope, and loss remains one of America’s most widely read and taught novels. An unlikely pair, George and Lennie, two migrant workers in California during the Great Depression, grasp for their American Dream. They hustle work when they can, living a hand-to-mouth existence. For George and Lennie have a plan: to own an acre of land and a shack they can call their own. When they land jobs on a ranch in the Salinas Valley, the fulfillment of their dream seems to be within their grasp. But even George cannot guard Lennie from the provocations, nor predict the consequences of Lennie's unswerving obedience to the things George taught him. Of Mice and Men represents an experiment in form, which Steinbeck described as “a kind of playable novel, written in a novel form but so scened and set that it can be played as it stands.” A rarity in American letters, it achieved remarkable success as a novel, a Broadway play, and three acclaimed films. This Centennial edition, specially designed to commemorate one hundred years of Steinbeck, features french flaps and deckle-edged pages. For more than sixty-five years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,500 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
33,Arthur Golden,1997,Memoirs of a Geisha,eng,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,19.17,"A fisherman's daughter in 1930s Japan rises to become a famous geisha. After training, Sayuri's virginity is sold to the highest bidder, then the school finds her a general for a patron. When he dies, she is reunited with the only man she loved."
34,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",eng,https://images.gr-assets.com/books/1385207843s/10818853.jpg,17.82,
35,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,eng,https://images.gr-assets.com/books/1483412266s/865.jpg,22.75,"Rebecca Martin is a single mother with an apartment to rent and a sense that she has used up her illusions. I had the romantic thing with my first husband, thank you very much, she tells a hapless suitor. I'm thirty-eight years old, and I've got a daughter learning to read and a job I don't quite like. I don't need the violin music. But when the new tenant in her in-law apartment turns out to be Michael Christopher, on the lam after twenty years in a monastery and smack dab in the middle of a dark night of the soul, Rebecca begins to suspect that she is not as thoroughly disillusioned as she had thought. Her daughter, Mary Martha, is delighted with the new arrival, as is Rebecca's mother, Phoebe, a rollicking widow making a new life for herself among the spiritual eccentrics of the coastal town of Bolinas. Even Rebecca's best friend, Bonnie, once a confirmed cynic in matters of the heart, urges Rebecca on. But none of them, Rebecca feels, understands how complicated and dangerous love actually is. As her unlikely friendship with the ex-monk grows toward something deeper, and Michael wrestles with his despair while adjusting to a second career flipping hamburgers at McDonald's, Rebecca struggles with her own temptation to hope. But it is not until she is brought up short by the realities of life and death that she begins to glimpse the real mystery of love, and the unfathomable depths of faith. Beautifully written and playfully engaging, this novel. is about one man wrestling with his yearning for a life of contemplation and the need for a life of action in the world. But it's Rebecca's spirit, as well as her relationships with Mary Martha, Phoebe, her irresponsible surfer ex-husband Rory -- and, of course, the monk downstairs -- that makes this story shine."
36,Lois Lowry,1993,"The Giver (The Giver, #1)",eng,https://images.gr-assets.com/books/1342493368s/3636.jpg,14.13,"At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life. An ALA Notable Book for Children & Newbery Medal Winner. Reissue."
2204,Elizabeth Strout,2013,The Burgess Boys,eng,https://images.gr-assets.com/books/1351213545s/15823461.jpg,20.23,
38,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,https://images.gr-assets.com/books/1437728815s/14050.jpg,19.43,"Passionately in love, Clare and Henry vow to hold onto each other and their marriage as they struggle with the effects of Chrono-Displacement Disorder, a condition that casts Henry involuntarily into the world of time travel."
39,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,https://images.gr-assets.com/books/1436732693s/13496.jpg,12.18,"The kingdom of the royal Stark family faces its ultimate challenge in the onset of a generation-long winter, the poisonous plots of the rival Lannisters, the emergence of the Neverborn demons, and the arrival of barbarian hordes. Reissue."
40,Elizabeth Gilbert,2006,"Eat, Pray, Love",eng,https://images.gr-assets.com/books/1503066414s/19501.jpg,16.79,"One of the most iconic, beloved, and bestselling books of our time from the bestselling author of City of Girls and Big Magic, Elizabeth Gilbert. Elizabeth Gilbert’s Eat Pray Love touched the world and changed countless lives, inspiring and empowering millions of readers to search for their own best selves. Now, this beloved and iconic book returns in a beautiful 10th anniversary edition, complete with an updated introduction from the author, to launch a whole new generation of fans. In her early thirties, Elizabeth Gilbert had everything a modern American woman was supposed to want—husband, country home, successful career—but instead of feeling happy and fulfilled, she was consumed by panic and confusion. This wise and rapturous book is the story of how she left behind all these outward marks of success, and set out to explore three different aspects of her nature, against the backdrop of three different cultures: pleasure in Italy, devotion in India, and on the Indonesian island of Bali, a balance between worldly enjoyment and divine transcendence."
41,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,https://images.gr-assets.com/books/1400602609s/28187.jpg,18.41,
42,Louisa May Alcott,1868,"Little Women (Little Women, #1)",en-US,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,22.36,"In New England during the Civil War, four sisters experience joys and hardships together."
43,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,https://images.gr-assets.com/books/1327867269s/10210.jpg,9.36,"A complete collection of short stories by the noted humorist features Parker's best known tales, along with thirteen stories never previously collected."
44,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",eng,https://images.gr-assets.com/books/1385738917s/15931.jpg,22.43,"Evocative, funny and full of life, this is a beautifully observed childhood memoir of growing up in colonial Hong Kong in the 1950s. As an inquisitive seven-year-old, Martin Booth found himself with the whole of Hong Kong at his feet when his father was posted there in the early 1950s. Unrestricted by parental control, he had free access to hidden corners of the colony normally closed to a Gweilo, a “pale fellow” like him. Befriending rickshaw coolies and local stallholders, he learned Cantonese, sampled delicacies such as boiled water beetles and one-hundred-year-old eggs, and participated in colourful festivals. He even entered the forbidden Kowloon Walled City, wandered into the secret lair of the Triads and visited an opium den. Along the way he encountered a colourful array of people, from the plink plonk man with his dancing monkey to Nagasaki Jim, a drunken child molester, and the Queen of Kowloon, the crazed tramp who may have been a member of the Romanov family. Shadowed by the unhappiness of his warring parents, a broad-minded mother who, like her son, was keen to embrace all things Chinese, and a bigoted father who was enraged by his family’s interest in “going native,” Martin Booth’s compelling memoir is a journey into Chinese culture and an extinct colonial way of life that glows with infectious curiosity and humour."
46,Sara Gruen,2006,Water for Elephants,eng,https://images.gr-assets.com/books/1494428973s/43641.jpg,18.43,"Ninety-something-year-old Jacob Jankowski remembers his time in the circus as a young man during the Great Depression, and his friendship with Marlena, the star of the equestrian act, and Rosie, the elephant, who gave them hope. Reader's Guide included. Reprint."
47,Markus Zusak,2005,The Book Thief,eng,https://images.gr-assets.com/books/1390053681s/19063.jpg,17.07,"Trying to make sense of the horrors of World War II, Death relates the story of Liesel--a young German girl whose book-stealing and story-telling talents help sustain her family and the Jewish man they are hiding, as well as their neighbors."
48,Ray Bradbury,1953,Fahrenheit 451,spa,https://images.gr-assets.com/books/1351643740s/4381.jpg,17.85,
49,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,https://images.gr-assets.com/books/1361039440s/49041.jpg,14.91,
50,Shel Silverstein,1974,Where the Sidewalk Ends,eng,https://images.gr-assets.com/books/1168052448s/30119.jpg,13.84,A boy who turns into a TV set and a girl who eats a whale are only two of the characters in a collection of humorous poetry illustrated with the author's own drawings.
51,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",eng,https://images.gr-assets.com/books/1432730315s/256683.jpg,20.49,"Suddenly able to see demons and the Shadowhunters who are dedicated to returning them to their own dimension, fifteen-year-old Clary Fray is drawn into this bizarre world when her mother disappears and Clary herself is almost killed by a monster."
52,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",en-US,https://images.gr-assets.com/books/1361038355s/428263.jpg,14.72,"Bursting with painfully accurate and sharply witty observations, a novel written in verse follows a young woman exploring first crushes, first dances, first kisses, and the many other hazards of growing up."
53,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",en-US,https://images.gr-assets.com/books/1366212852s/113436.jpg,12.4,"New magic and new threats take flight in Book Two of the Inheritance Cycle, perfect for fans of Lord of the Rings! This New York Times bestselling series has sold over 40 million copies and is an international fantasy sensation. ""Christopher Paolini is a true rarity."" —The Washington Post Darkness falls… despair abounds… evil reigns… Eragon and his dragon, Saphira, have just saved the rebel state from destruction by the mighty forces of King Galbatorix. Now Eragon must travel to Ellésmera, land of the elves, for further training in the skills of the Dragon Rider: magic and swordsmanship. But chaos and betrayal plague him at every turn, and nothing is what it seems. Before long, Eragon doesn’t know whom he can trust. Will the king’s dark hand strangle all resistance? Eragon may not escape with even his life. . . . And don’t miss the most recent book set in Eragon's world, The Fork, the Witch, and the Worm: Tales from Alagaësia!"
353,William Shakespeare,1603,Othello,eng,https://images.gr-assets.com/books/1459795105s/12996.jpg,20.95,A discussion of the sources and historical background of the play accompanies the text and critical commentaries.
54,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,https://images.gr-assets.com/books/1327656754s/11.jpg,22.42,"NEW YORK TIMES BESTSELLER • “Extremely funny . . . inspired lunacy . . . [and] over much too soon.”—The Washington Post Book World SOON TO BE A HULU SERIES • Now celebrating the pivotal 42nd anniversary of The Hitchhiker’s Guide to the Galaxy! Nominated as one of America’s best-loved novels by PBS’s The Great American Read It’s an ordinary Thursday morning for Arthur Dent . . . until his house gets demolished. The Earth follows shortly after to make way for a new hyperspace express route, and Arthur’s best friend has just announced that he’s an alien. After that, things get much, much worse. With just a towel, a small yellow fish, and a book, Arthur has to navigate through a very hostile universe in the company of a gang of unreliable aliens. Luckily the fish is quite good at languages. And the book is The Hitchhiker’s Guide to the Galaxy . . . which helpfully has the words DON’T PANIC inscribed in large, friendly letters on its cover. Douglas Adams’s mega-selling pop-culture classic sends logic into orbit, plays havoc with both time and physics, offers up pithy commentary on such things as ballpoint pens, potted plants, and digital watches . . . and, most important, reveals the ultimate answer to life, the universe, and everything. Now, if you could only figure out the question. . . ."
55,Aldous Huxley,1932,Brave New World,eng,https://images.gr-assets.com/books/1487389574s/5129.jpg,16.96,"Armed with her idealism and determination, young Francie Nolan struggles to escape from the poverty of life in a Brooklyn tenement during the early 1900s. Reprint. NYT."
56,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",en-US,https://images.gr-assets.com/books/1361039438s/1162543.jpg,18.12,"When you loved the one who was killing you, it left you no options. How could you run, how could you fight, when doing so would hurt that beloved one? If your life was all you had to give, how could you not give it? If it was someone you truly loved? To be irrevocably in love with a vampire is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, a tumultuous year of temptation, loss, and strife have led her to the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs. Now that Bella has made her decision, a startling chain of unprecedented events is about to unfold with potentially devastating, and unfathomable, consequences. Just when the frayed strands of Bella's life-first discovered in Twilight, then scattered and torn in New Moon and Eclipse-seem ready to heal and knit together, could they be destroyed... forever? The astonishing, breathlessly anticipated conclusion to the Twilight Saga, Breaking Dawn illuminates the secrets and mysteries of this spellbinding romantic epic that has entranced millions."
57,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,https://images.gr-assets.com/books/1473454532s/37435.jpg,22.55,"The multi-million bestselling novel about a young girl's journey towards healing and the transforming power of love, from the award-winning author of The Invention of Wings and The Book of Longings Set in South Carolina in 1964, The Secret Life of Bees tells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted Black ""stand-in mother,"" Rosaleen, insults three of the deepest racists in town, Lily decides to spring them both free. They escape to Tiburon, South Carolina—a town that holds the secret to her mother's past. Taken in by an eccentric trio of Black beekeeping sisters, Lily is introduced to their mesmerizing world of bees and honey, and the Black Madonna. This is a remarkable novel about divine female power, a story that women will share and pass on to their daughters for years to come."
58,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,https://images.gr-assets.com/books/1405973850s/2956.jpg,12.94,Blends elements of psychoanalysis and Asian religions to probe an Indian aristocrat's efforts to renounce sensual and material pleasures and discover spiritual truths.
59,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,https://images.gr-assets.com/books/1439632243s/24178.jpg,18.79,"Swan Song Like the rest of his family, Louis is a trumpeter swan. But unlike his four brothers and sisters, Louis can't trumpet joyfully. In fact, he can't even make a sound. And since he can't trumpet his love, the beautiful swan Serena pays absolutely no attention to him. Louis tries everything he can think of to win Serena's affection--he even goes to school to learn to read and write. But nothing seems to work. Then his father steals him a real brass trumpet. Is a musical instrument the key to winning Louis his love?"
60,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,https://images.gr-assets.com/books/1479863624s/1618.jpg,23.42,"A physicist describes what we know about the shape, extent, origins, and evolution of the universe, the complexities of space and time, and the secrets of black holes, time warps, and other phenomena."
61,Paula Hawkins,2015,The Girl on the Train,eng,https://images.gr-assets.com/books/1490903702s/22557272.jpg,23.4,
62,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",eng,https://images.gr-assets.com/books/1451271747s/119322.jpg,14.71,"In an alternative world in which every human being is accompanied by an animal familiar, the disappearance of several children prompts Lyra and her bear protector to undertake a journey to the frozen Arctic in pursuit of kidnappers."
63,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,18.17,
93,Frances Hodgson Burnett,1911,The Secret Garden,eng,https://images.gr-assets.com/books/1327873635s/2998.jpg,23.63,"The Secret Garden, a classic loved for more than seventy-five years, is all that its title implies. It is, as one might imagine, a mystery. But it is also a love story and the love is as passionate and fervent as one could imagine. It is a story of the love of nature, of science and the scientific method, and of isolated and lonely human beings who learn to care not only for others, but equally important, for themselves. This deluxe Children’s Classic edition is produced with high-quality, leatherlike binding with gold stamping, full-color covers, colored endpapers with a book nameplate. Some of the other titles in this series include: Anne of Green Gables, Black Beauty, King Arthur and His Knights, Little Women, and Treasure Island."
128,Walter Isaacson,2011,Steve Jobs,eng,https://images.gr-assets.com/books/1327861368s/11084145.jpg,21.66,"Draws on more than forty interviews with Steve Jobs, as well as interviews with family members, friends, competitors, and colleagues to offer a look at the co-founder and leading creative force behind the Apple computer company."
129,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,https://images.gr-assets.com/books/1485308778s/332613.jpg,10.71,
