country,dt,revenue
France,2022-09-06,35.4
France,2022-09-08,38.58
France,2022-09-09,171.13
France,2022-09-10,36.23
France,2022-09-11,75.7
France,2022-09-12,35.730000000000004
France,2022-09-13,46.46
France,2022-09-14,123.6
France,2022-09-15,88.91
France,2022-09-16,118.51
France,2022-09-19,35.96
France,2022-09-20,21.28
France,2022-09-21,47.11
France,2022-09-23,39.49
France,2022-09-24,13.0
France,2022-09-25,88.44
France,2022-09-29,37.03
France,2022-09-30,15.98
France,2022-10-01,14.95
France,2022-10-02,24.31
France,2022-10-04,46.49
France,2022-10-07,51.96
France,2022-10-08,14.15
France,2022-10-09,43.33
France,2022-10-11,22.54
France,2022-10-12,55.81
France,2022-10-13,50.08
France,2022-10-15,26.3
France,2022-10-17,51.040000000000006
France,2022-10-18,53.85
France,2022-10-19,21.65
France,2022-10-21,135.17000000000002
France,2022-10-22,73.14
France,2022-10-23,117.3
France,2022-10-25,24.62
France,2022-10-26,28.7
France,2022-10-27,42.49
France,2022-10-28,11.48
France,2022-10-29,82.83
France,2022-11-01,57.94
France,2022-11-03,22.8
France,2022-11-04,118.0
France,2022-11-05,12.73
France,2022-11-06,10.58
France,2022-11-07,74.22
France,2022-11-09,83.11
France,2022-11-10,24.5
France,2022-11-11,50.38
France,2022-11-12,57.37
France,2022-11-15,88.41
France,2022-11-16,163.07
France,2022-11-17,15.26
France,2022-11-18,11.32
France,2022-11-19,9.52
France,2022-11-20,24.85
France,2022-11-23,39.54
France,2022-11-24,93.21
France,2022-11-25,29.83
France,2022-11-26,75.34
