country,dt,revenue
Germany,2021-03-05,75.8
Germany,2021-03-06,54.25
Germany,2021-03-07,38.7
Germany,2021-03-09,66.27
Germany,2021-03-10,107.41
Germany,2021-03-18,67.9
Germany,2021-03-19,43.64
Germany,2021-03-20,36.9
Germany,2021-03-22,12.36
Germany,2021-03-23,70.04
Germany,2021-03-24,32.12
Germany,2021-03-25,29.480000000000004
Germany,2021-03-26,17.79
Germany,2021-03-30,23.3
Germany,2021-04-01,26.96
Germany,2021-04-02,37.59
Germany,2021-04-03,10.49
Germany,2021-04-04,12.58
Germany,2021-04-06,19.1
Germany,2021-04-07,105.62
Germany,2021-04-08,60.81
Germany,2021-04-10,18.66
Germany,2021-04-11,40.78
Germany,2021-04-12,19.52
Germany,2021-04-13,22.34
Germany,2021-04-14,64.32
Germany,2021-04-15,43.6
Germany,2021-04-17,49.66
Germany,2021-04-18,24.05
Germany,2021-04-23,44.58
Germany,2021-04-24,53.58
Germany,2021-04-25,24.87
Germany,2021-04-26,29.630000000000003
Germany,2021-04-27,21.21
Germany,2021-04-28,21.17
Germany,2021-04-29,56.06
Germany,2021-04-30,68.03999999999999
Germany,2021-05-04,27.72
Germany,2021-05-06,10.61
Germany,2021-05-07,21.5
Germany,2021-05-08,68.95
Germany,2021-05-09,22.24
Germany,2021-05-10,24.03
Germany,2021-05-11,95.42
Germany,2021-05-12,11.4
Germany,2021-05-13,70.93
Germany,2021-05-14,14.36
Germany,2021-05-16,27.3
Germany,2021-05-18,35.36
Germany,2021-05-22,32.23
Germany,2021-05-24,57.260000000000005
Germany,2021-05-27,69.0
Germany,2021-05-28,63.53
Germany,2021-05-29,40.42
Germany,2021-05-31,23.98
Germany,2021-06-02,15.55
Germany,2021-06-03,12.53
Germany,2021-06-04,22.26
Germany,2021-06-05,31.11
Germany,2021-06-06,32.5
Germany,2021-06-08,97.55
Germany,2021-06-10,66.57
Germany,2021-06-11,93.53
Germany,2021-06-13,100.84
Germany,2021-06-16,31.63
Germany,2021-06-18,32.8
Germany,2021-06-20,62.55
Germany,2021-06-22,226.72
Germany,2021-06-25,14.16
Germany,2021-06-26,117.15
Germany,2021-06-27,43.0
Germany,2021-06-28,137.67000000000002
Germany,2021-06-29,94.24
Germany,2021-06-30,11.65
Germany,2021-07-01,30.64
Germany,2021-07-02,20.95
Germany,2021-07-03,22.46
Germany,2021-07-04,18.79
Germany,2021-07-05,149.70999999999998
Germany,2021-07-06,12.43
Germany,2021-07-08,9.09
Germany,2021-07-09,15.29
Germany,2021-07-10,35.39
Germany,2021-07-11,40.11
Germany,2021-07-12,90.15
Germany,2021-07-13,38.46
Germany,2021-07-14,34.56
Germany,2021-07-16,112.18
Germany,2021-07-17,11.03
Germany,2021-07-18,23.59
Germany,2021-07-19,15.14
Germany,2021-07-21,22.0
Germany,2021-07-22,40.18
Germany,2021-07-25,58.17
Germany,2021-07-26,55.38
Germany,2021-07-28,56.31
Germany,2021-07-29,22.09
Germany,2021-07-31,131.49
Germany,2021-08-01,67.6
Germany,2021-08-03,47.28
Germany,2021-08-04,25.52
Germany,2021-08-05,97.31
Germany,2021-08-06,37.07
Germany,2021-08-08,23.04
Germany,2021-08-09,56.08
Germany,2021-08-10,85.97
Germany,2021-08-12,22.66
Germany,2021-08-15,70.62
Germany,2021-08-16,45.91
Germany,2021-08-17,42.99
Germany,2021-08-19,36.17
Germany,2021-08-20,22.85
Germany,2021-08-21,42.76
Germany,2021-08-22,32.68
Germany,2021-08-26,9.3
Germany,2021-08-27,63.75
Germany,2021-08-28,74.45
Germany,2021-08-29,35.2
Germany,2021-08-30,24.57
Germany,2021-09-02,16.47
Germany,2021-09-04,16.03
Germany,2021-09-06,18.36
Germany,2021-09-07,15.26
Germany,2021-09-08,34.43
Germany,2021-09-09,9.09
Germany,2021-09-10,9.39
Germany,2021-09-12,80.95
Germany,2021-09-13,32.96
Germany,2021-09-14,36.49
Germany,2021-09-15,25.36
Germany,2021-09-16,64.6
Germany,2021-09-19,12.26
Germany,2021-09-21,47.81999999999999
Germany,2021-09-22,32.51
Germany,2021-09-24,45.2
Germany,2021-09-25,24.3
Germany,2021-09-26,18.61
Germany,2021-09-28,33.87
Germany,2021-09-29,85.44
Germany,2021-10-01,120.29
Germany,2021-10-02,34.32
Germany,2021-10-03,23.4
Germany,2021-10-04,23.24
Germany,2021-10-05,47.03
Germany,2021-10-08,34.23
Germany,2021-10-09,45.82
Germany,2021-10-10,23.01
Germany,2021-10-12,11.72
Germany,2021-10-16,17.59
Germany,2021-10-17,66.12
Germany,2021-10-19,12.82
Germany,2021-10-21,24.83
Germany,2021-10-25,45.01
Germany,2021-10-28,19.35
Germany,2021-10-29,44.08
Germany,2021-10-30,48.58
Germany,2021-10-31,16.18
Germany,2021-11-01,28.72
Germany,2021-11-02,76.54
Germany,2021-11-04,61.99
Germany,2021-11-05,132.59
Germany,2021-11-06,63.37
Germany,2021-11-07,12.37
Germany,2021-11-09,18.61
Germany,2021-11-11,61.19
Germany,2021-11-13,19.7
Germany,2021-11-14,83.14
Germany,2021-11-15,27.78
Germany,2021-11-16,13.76
Germany,2021-11-17,83.82
Germany,2021-11-18,119.87
Germany,2021-11-19,24.75
Germany,2021-11-20,66.56
Germany,2021-11-21,38.59
Germany,2021-11-23,13.26
Germany,2021-11-25,22.66
Germany,2021-11-28,21.83
Germany,2021-11-30,42.63
Germany,2021-12-02,11.77
Germany,2021-12-03,10.98
Germany,2021-12-05,50.56999999999999
Germany,2021-12-06,39.88
Germany,2021-12-08,9.39
Germany,2021-12-09,74.49
Germany,2021-12-10,17.79
Germany,2021-12-11,46.89
Germany,2021-12-12,17.05
Germany,2021-12-13,15.46
Germany,2021-12-15,25.130000000000003
Germany,2021-12-16,50.38
Germany,2021-12-18,25.78
Germany,2021-12-19,17.74
Germany,2021-12-21,48.09
Germany,2021-12-23,41.74
Germany,2021-12-25,9.93
Germany,2021-12-26,24.62
Germany,2021-12-27,67.75999999999999
Germany,2021-12-28,23.82
Germany,2021-12-29,181.05
Germany,2022-01-01,74.89
Germany,2022-01-02,85.98
Germany,2022-01-05,58.19
Germany,2022-01-06,12.01
Germany,2022-01-07,27.78
Germany,2022-01-08,9.17
Germany,2022-01-09,22.84
Germany,2022-01-10,27.24
Germany,2022-01-11,68.09
Germany,2022-01-12,15.04
Germany,2022-01-14,61.6
Germany,2022-01-15,62.24
Germany,2022-01-17,44.0
Germany,2022-01-21,48.2
Germany,2022-01-23,48.5
Germany,2022-01-25,11.1
Germany,2022-01-26,33.94
Germany,2022-01-28,130.39
Germany,2022-01-29,11.51
Germany,2022-01-30,32.1
Germany,2022-01-31,14.98
Germany,2022-02-01,87.64
Germany,2022-02-02,90.5
Germany,2022-02-03,45.7
Germany,2022-02-04,81.0
Germany,2022-02-05,9.15
Germany,2022-02-06,73.56
Germany,2022-02-09,11.24
Germany,2022-02-11,16.88
Germany,2022-02-13,22.2
Germany,2022-02-14,27.590000000000003
Germany,2022-02-15,150.23
Germany,2022-02-17,24.15
Germany,2022-02-18,81.5
Germany,2022-02-21,15.6
Germany,2022-02-22,42.35
Germany,2022-02-23,71.74000000000001
Germany,2022-02-25,43.63
Germany,2022-02-26,45.36
Germany,2022-02-28,26.06
Germany,2022-03-01,21.7
Germany,2022-03-02,34.87
Germany,2022-03-03,67.24
Germany,2022-03-04,67.61
Germany,2022-03-05,10.78
Germany,2022-03-08,14.16
Germany,2022-03-11,12.84
Germany,2022-03-12,20.5
Germany,2022-03-13,12.01
Germany,2022-03-14,59.9
Germany,2022-03-15,22.46
Germany,2022-03-16,67.05
Germany,2022-03-17,67.78999999999999
Germany,2022-03-18,39.06
Germany,2022-03-19,40.26
Germany,2022-03-20,32.87
Germany,2022-03-22,41.12
Germany,2022-03-23,60.14
Germany,2022-03-24,130.03
Germany,2022-03-25,13.95
Germany,2022-03-27,18.77
Germany,2022-03-28,24.59
Germany,2022-03-29,22.41
Germany,2022-03-30,92.27
Germany,2022-04-01,90.64
Germany,2022-04-02,38.25
Germany,2022-04-03,84.94
Germany,2022-04-04,17.56
Germany,2022-04-06,55.11
Germany,2022-04-07,18.66
Germany,2022-04-08,33.12
Germany,2022-04-09,44.93
Germany,2022-04-10,61.68
Germany,2022-04-11,59.88
Germany,2022-04-12,9.59
Germany,2022-04-14,29.43
Germany,2022-04-15,12.25
Germany,2022-04-18,21.4
Germany,2022-04-19,87.95
Germany,2022-04-20,25.29
Germany,2022-04-21,13.28
Germany,2022-04-22,67.71
Germany,2022-04-23,24.1
Germany,2022-04-27,58.650000000000006
Germany,2022-04-28,105.35
Germany,2022-04-29,90.38
Germany,2022-04-30,9.53
Germany,2022-05-01,30.08
Germany,2022-05-02,55.120000000000005
Germany,2022-05-03,102.77
Germany,2022-05-05,117.37
Germany,2022-05-06,90.62
Germany,2022-05-07,11.94
Germany,2022-05-08,44.33
Germany,2022-05-09,15.9
Germany,2022-05-10,15.46
Germany,2022-05-11,128.11
Germany,2022-05-13,24.15
Germany,2022-05-15,15.6
Germany,2022-05-17,89.07
Germany,2022-05-18,130.14999999999998
Germany,2022-05-20,92.75
Germany,2022-05-22,58.89
Germany,2022-05-23,31.86
Germany,2022-05-24,65.28
Germany,2022-05-25,101.56
Germany,2022-05-27,60.43
Germany,2022-05-28,22.75
Germany,2022-05-29,54.58
Germany,2022-05-30,28.21
Germany,2022-05-31,11.47
Germany,2022-06-01,15.4
Germany,2022-06-02,64.46000000000001
Germany,2022-06-03,58.37
Germany,2022-06-04,46.73
Germany,2022-06-05,16.5
Germany,2022-06-06,22.61
Germany,2022-06-08,42.58
Germany,2022-06-09,22.42
Germany,2022-06-10,130.75
Germany,2022-06-12,76.88
Germany,2022-06-14,34.57
Germany,2022-06-15,82.25999999999999
Germany,2022-06-16,61.69
Germany,2022-06-17,77.68
Germany,2022-06-19,56.82
Germany,2022-06-20,39.79
Germany,2022-06-25,85.84
Germany,2022-06-26,97.09
Germany,2022-06-27,115.24
Germany,2022-06-28,21.14
Germany,2022-06-29,20.57
Germany,2022-07-01,75.74000000000001
Germany,2022-07-02,20.49
Germany,2022-07-03,88.78
Germany,2022-07-04,143.05
Germany,2022-07-05,140.60000000000002
Germany,2022-07-06,88.78999999999999
Germany,2022-07-07,10.18
Germany,2022-07-08,12.01
Germany,2022-07-09,82.65
Germany,2022-07-10,204.48
Germany,2022-07-11,54.43
Germany,2022-07-12,17.76
Germany,2022-07-13,26.7
Germany,2022-07-14,131.9
Germany,2022-07-15,269.73
Germany,2022-07-16,28.04
Germany,2022-07-17,22.85
Germany,2022-07-18,76.69
Germany,2022-07-19,51.5
Germany,2022-07-20,35.71
Germany,2022-07-21,65.61
Germany,2022-07-22,49.71
Germany,2022-07-23,43.02
Germany,2022-07-24,108.71
Germany,2022-07-25,60.28
Germany,2022-07-26,23.49
Germany,2022-07-27,130.78
Germany,2022-07-28,40.85
Germany,2022-07-29,42.98
Germany,2022-07-30,101.77
Germany,2022-07-31,226.95
Germany,2022-08-01,24.35
Germany,2022-08-02,45.870000000000005
Germany,2022-08-03,34.87
Germany,2022-08-04,87.01
Germany,2022-08-05,93.22
Germany,2022-08-06,158.3
Germany,2022-08-07,28.34
Germany,2022-08-08,22.91
Germany,2022-08-09,255.71
Germany,2022-08-10,37.69
Germany,2022-08-11,14.07
Germany,2022-08-12,21.85
Germany,2022-08-13,50.98
Germany,2022-08-14,83.86
Germany,2022-08-15,35.17
Germany,2022-08-16,30.17
Germany,2022-08-18,133.02
Germany,2022-08-20,16.57
Germany,2022-08-22,84.55
Germany,2022-08-23,89.87
Germany,2022-08-24,22.83
Germany,2022-08-25,28.97
Germany,2022-08-26,73.44
Germany,2022-08-27,9.26
Germany,2022-08-28,39.83
Germany,2022-08-29,91.2
Germany,2022-08-30,19.52
Germany,2022-08-31,59.36
Germany,2022-09-01,22.41
Germany,2022-09-02,22.42
Germany,2022-09-03,63.66
Germany,2022-09-04,95.54
Germany,2022-09-06,65.87
Germany,2022-09-07,15.07
Germany,2022-09-08,19.49
Germany,2022-09-09,28.48
Germany,2022-09-10,128.92000000000002
Germany,2022-09-11,126.2
Germany,2022-09-13,164.35
Germany,2022-09-14,70.71000000000001
Germany,2022-09-15,51.06
Germany,2022-09-16,65.41
Germany,2022-09-17,18.55
Germany,2022-09-18,82.69
Germany,2022-09-19,44.08
Germany,2022-09-21,23.13
Germany,2022-09-22,34.85
Germany,2022-09-23,21.14
Germany,2022-09-24,12.82
Germany,2022-09-25,34.68
Germany,2022-09-27,55.78
Germany,2022-09-29,71.46000000000001
Germany,2022-09-30,38.17
Germany,2022-10-01,133.07999999999998
Germany,2022-10-02,112.88
Germany,2022-10-03,11.35
Germany,2022-10-04,52.81
Germany,2022-10-05,32.43
Germany,2022-10-06,21.64
Germany,2022-10-07,15.07
Germany,2022-10-08,23.4
Germany,2022-10-09,98.32
Germany,2022-10-10,48.78
Germany,2022-10-11,64.92
Germany,2022-10-12,51.55
Germany,2022-10-13,157.03
Germany,2022-10-14,131.32
Germany,2022-10-16,14.02
Germany,2022-10-17,24.75
Germany,2022-10-18,245.14
Germany,2022-10-20,128.08
Germany,2022-10-21,9.39
Germany,2022-10-22,77.87
Germany,2022-10-23,80.2
Germany,2022-10-24,29.22
Germany,2022-10-25,216.07
Germany,2022-10-26,128.76
Germany,2022-10-28,50.18000000000001
Germany,2022-10-29,43.67
Germany,2022-10-30,118.21
Germany,2022-10-31,28.82
Germany,2022-11-01,21.24
Germany,2022-11-02,20.36
Germany,2022-11-03,24.3
Germany,2022-11-04,59.84
Germany,2022-11-05,17.24
Germany,2022-11-06,15.27
Germany,2022-11-07,36.03
Germany,2022-11-08,36.28
Germany,2022-11-09,63.81
Germany,2022-11-10,11.72
Germany,2022-11-11,61.74
Germany,2022-11-12,33.0
Germany,2022-11-13,24.57
Germany,2022-11-14,87.22
Germany,2022-11-15,167.32
Germany,2022-11-16,102.95
Germany,2022-11-17,69.99
Germany,2022-11-19,161.76
Germany,2022-11-20,68.38
Germany,2022-11-21,208.1
Germany,2022-11-22,72.53
Germany,2022-11-23,69.77
Germany,2022-11-24,190.85
Germany,2022-11-25,57.48
Germany,2022-11-26,35.28
