ad_channel,dt,impressions,clicks,ad_spend
facebook,2021-06-02,619,31,300.4
facebook,2021-06-03,729,36,347.4
facebook,2021-06-04,654,33,335.0
facebook,2021-06-05,501,25,250.7
facebook,2021-06-06,698,36,358.9
facebook,2021-06-07,694,35,347.8
facebook,2021-06-08,834,42,409.0
facebook,2021-06-09,414,20,194.1
facebook,2021-06-10,608,29,293.3
facebook,2021-06-11,683,34,345.2
facebook,2021-06-12,446,22,230.6
facebook,2021-06-13,554,28,279.7
facebook,2021-06-14,608,30,294.0
facebook,2021-06-15,502,24,239.7
facebook,2021-06-16,423,21,199.4
facebook,2021-06-17,672,34,337.9
facebook,2021-06-18,526,27,272.5
facebook,2021-06-19,693,35,356.0
facebook,2021-06-20,430,21,209.6
facebook,2021-06-21,786,39,384.6
facebook,2021-06-22,598,30,302.2
facebook,2021-06-23,467,23,226.8
facebook,2021-06-24,620,32,327.1
facebook,2021-06-25,654,33,324.5
facebook,2021-06-26,625,31,297.7
facebook,2021-06-27,740,38,377.3
facebook,2021-06-28,653,32,326.1
facebook,2021-06-29,570,28,281.4
facebook,2021-06-30,644,32,329.1
facebook,2021-07-01,726,37,364.8
facebook,2021-07-02,513,26,247.0
facebook,2021-07-03,674,33,331.1
facebook,2021-07-04,584,30,290.4
facebook,2021-07-05,854,42,404.5
facebook,2021-07-06,469,24,241.0
facebook,2021-07-07,596,30,305.0
facebook,2021-07-08,616,31,316.4
facebook,2021-07-09,682,35,353.4
facebook,2021-07-10,649,33,331.2
facebook,2021-07-11,630,32,327.7
facebook,2021-07-12,617,31,306.5
facebook,2021-07-13,480,24,235.6
facebook,2021-07-14,595,29,276.5
facebook,2021-07-15,794,40,401.1
facebook,2021-07-16,625,32,320.5
facebook,2021-07-17,534,27,273.7
facebook,2021-07-18,795,40,405.6
facebook,2021-07-19,749,39,386.6
facebook,2021-07-20,567,28,286.7
facebook,2021-07-21,561,28,281.5
facebook,2021-07-22,887,44,439.5
facebook,2021-07-23,690,34,341.9
facebook,2021-07-24,728,36,354.4
facebook,2021-07-25,796,40,400.6
facebook,2021-07-26,595,30,307.9
facebook,2021-07-27,676,34,343.9
facebook,2021-07-28,595,29,285.6
facebook,2021-07-29,505,25,248.8
facebook,2021-07-30,667,34,335.7
facebook,2021-07-31,619,31,297.6
facebook,2021-08-01,873,44,438.4
facebook,2021-08-02,566,28,286.4
facebook,2021-08-03,1010,51,512.7
facebook,2021-08-04,897,45,448.9
facebook,2021-08-05,759,37,362.4
facebook,2021-08-06,582,31,308.1
facebook,2021-08-07,650,32,319.4
facebook,2021-08-08,784,39,382.5
facebook,2021-08-09,637,32,318.9
facebook,2021-08-10,772,39,373.0
facebook,2021-08-11,670,34,344.4
facebook,2021-08-12,855,42,417.1
facebook,2021-08-13,733,37,375.3
facebook,2021-08-14,487,24,238.0
facebook,2021-08-15,822,42,421.5
facebook,2021-08-16,789,39,398.9
facebook,2021-08-17,804,40,403.4
facebook,2021-08-18,858,43,436.4
facebook,2021-08-19,885,44,440.2
facebook,2021-08-20,648,32,326.3
facebook,2021-08-21,822,42,426.2
facebook,2021-08-22,757,37,369.8
facebook,2021-08-23,604,31,310.2
facebook,2021-08-24,686,35,346.0
facebook,2021-08-25,567,29,293.0
facebook,2021-08-26,626,31,316.7
facebook,2021-08-27,573,30,295.4
facebook,2021-08-28,719,37,356.2
facebook,2021-08-29,780,39,383.9
facebook,2021-08-30,642,32,328.7
facebook,2021-08-31,731,36,356.9
facebook,2021-09-01,740,38,384.1
facebook,2021-09-02,643,33,325.5
facebook,2021-09-03,973,50,495.5
facebook,2021-09-04,721,37,368.2
facebook,2021-09-05,564,27,271.2
facebook,2021-09-06,780,38,387.7
facebook,2021-09-07,750,38,380.0
facebook,2021-09-08,935,48,482.4
facebook,2021-09-09,751,37,374.7
facebook,2021-09-10,817,41,397.5
facebook,2021-09-11,626,32,322.3
facebook,2021-09-12,681,34,337.6
facebook,2021-09-13,608,30,307.9
facebook,2021-09-14,837,43,436.3
facebook,2021-09-15,724,36,359.2
facebook,2021-09-16,445,22,213.5
facebook,2021-09-17,590,29,290.4
facebook,2021-09-18,486,25,251.8
facebook,2021-09-19,586,30,301.3
facebook,2021-09-20,464,23,222.8
facebook,2021-09-21,393,20,208.3
facebook,2021-09-22,647,32,316.9
facebook,2021-09-23,524,26,253.2
facebook,2021-09-24,587,29,289.2
facebook,2021-09-25,648,32,318.1
facebook,2021-09-26,462,23,224.5
facebook,2021-09-27,637,32,316.4
facebook,2021-09-28,653,32,321.3
facebook,2021-09-29,568,30,297.2
facebook,2021-09-30,574,29,279.3
facebook,2021-10-01,622,31,305.2
facebook,2021-10-02,558,28,275.7
facebook,2021-10-03,692,34,331.9
facebook,2021-10-04,593,30,292.0
facebook,2021-10-05,683,34,338.2
facebook,2021-10-06,404,21,198.7
facebook,2021-10-07,622,31,302.7
facebook,2021-10-08,733,36,367.6
facebook,2021-10-09,701,35,339.2
facebook,2021-10-10,697,35,340.1
facebook,2021-10-11,800,40,398.2
facebook,2021-10-12,740,38,377.9
facebook,2021-10-13,319,16,150.4
facebook,2021-10-14,275,14,141.1
facebook,2021-10-15,579,29,288.4
facebook,2021-10-16,671,33,327.7
facebook,2021-10-17,769,39,377.7
facebook,2021-10-18,802,40,397.2
facebook,2021-10-19,718,36,358.9
facebook,2021-10-20,794,39,397.4
facebook,2021-10-21,756,39,376.2
facebook,2021-10-22,553,28,278.4
facebook,2021-10-23,467,24,241.4
facebook,2021-10-24,787,39,398.7
facebook,2021-10-25,732,37,377.2
facebook,2021-10-26,504,25,253.5
facebook,2021-10-27,912,45,452.2
facebook,2021-10-28,634,33,337.2
facebook,2021-10-29,641,32,315.6
facebook,2021-10-30,685,35,354.7
facebook,2021-10-31,842,42,413.6
facebook,2021-11-01,706,36,358.2
facebook,2021-11-02,652,33,332.4
facebook,2021-11-03,684,35,346.7
facebook,2021-11-04,778,40,388.1
facebook,2021-11-05,798,39,395.6
facebook,2021-11-06,672,34,330.9
facebook,2021-11-07,794,39,395.2
facebook,2021-11-08,784,40,389.2
facebook,2021-11-09,790,39,386.6
facebook,2021-11-10,554,28,278.5
facebook,2021-11-11,678,35,344.6
facebook,2021-11-12,384,19,189.4
facebook,2021-11-13,674,34,335.6
facebook,2021-11-14,854,43,421.2
facebook,2021-11-15,567,28,268.9
facebook,2021-11-16,940,47,476.3
facebook,2021-11-17,803,40,392.9
facebook,2021-11-18,810,40,396.6
facebook,2021-11-19,513,26,261.7
facebook,2021-11-20,696,35,352.0
facebook,2021-11-21,615,31,311.7
facebook,2021-11-22,380,19,190.2
facebook,2021-11-23,631,32,324.9
facebook,2021-11-24,639,32,320.3
facebook,2021-11-25,504,25,252.8
facebook,2021-11-26,655,33,323.1
facebook,2021-11-27,490,24,236.2
facebook,2021-11-28,568,28,280.1
facebook,2021-11-29,758,38,393.4
facebook,2021-11-30,432,21,212.4
facebook,2021-12-01,571,29,288.8
facebook,2021-12-02,464,24,237.7
facebook,2021-12-03,601,31,306.2
facebook,2021-12-04,484,24,245.7
facebook,2021-12-05,582,30,296.2
facebook,2021-12-06,651,33,324.9
facebook,2021-12-07,541,27,264.5
facebook,2021-12-08,484,25,248.7
facebook,2021-12-09,533,26,245.9
facebook,2021-12-10,535,26,260.4
facebook,2021-12-11,625,31,310.3
facebook,2021-12-12,545,28,287.9
facebook,2021-12-13,479,24,237.3
facebook,2021-12-14,400,21,213.9
facebook,2021-12-15,601,31,307.1
facebook,2021-12-16,677,33,337.3
facebook,2021-12-17,666,34,341.3
facebook,2021-12-18,775,39,389.8
facebook,2021-12-19,562,28,271.0
facebook,2021-12-20,624,32,318.0
facebook,2021-12-21,816,40,391.4
facebook,2021-12-22,561,28,282.9
facebook,2021-12-23,498,25,253.7
facebook,2021-12-24,661,33,324.3
facebook,2021-12-25,586,29,274.6
facebook,2021-12-26,795,40,391.3
facebook,2021-12-27,682,35,341.6
facebook,2021-12-28,687,34,337.6
facebook,2021-12-29,697,35,346.3
facebook,2021-12-30,503,26,251.6
facebook,2021-12-31,604,30,287.2
facebook,2022-01-01,567,29,288.5
facebook,2022-01-02,607,31,309.4
facebook,2022-01-03,711,36,351.5
facebook,2022-01-04,579,29,285.6
facebook,2022-01-05,534,27,262.1
facebook,2022-01-06,624,32,316.8
facebook,2022-01-07,684,36,366.1
facebook,2022-01-08,583,30,288.6
facebook,2022-01-09,703,36,362.3
facebook,2022-01-10,982,49,487.6
facebook,2022-01-11,514,26,252.5
facebook,2022-01-12,637,31,293.9
facebook,2022-01-13,668,34,330.8
facebook,2022-01-14,651,33,331.1
facebook,2022-01-15,415,21,209.7
facebook,2022-01-16,766,39,377.7
facebook,2022-01-17,669,33,320.7
facebook,2022-01-18,907,46,452.2
facebook,2022-01-19,672,33,336.2
facebook,2022-01-20,743,38,381.4
facebook,2022-01-21,527,27,271.4
facebook,2022-01-22,696,35,346.5
facebook,2022-01-23,654,33,337.9
facebook,2022-01-24,553,27,270.4
facebook,2022-01-25,638,31,312.7
facebook,2022-01-26,661,34,341.0
facebook,2022-01-27,462,24,240.4
facebook,2022-01-28,606,31,306.5
facebook,2022-01-29,701,35,341.4
facebook,2022-01-30,746,38,376.9
facebook,2022-01-31,724,37,375.3
facebook,2022-02-01,679,34,350.5
facebook,2022-02-02,495,25,250.5
facebook,2022-02-03,678,34,340.7
facebook,2022-02-04,628,31,307.0
facebook,2022-02-05,602,30,288.9
facebook,2022-02-06,795,40,410.9
facebook,2022-02-07,593,30,294.0
facebook,2022-02-08,635,32,323.1
facebook,2022-02-09,634,32,327.4
facebook,2022-02-10,638,33,337.0
facebook,2022-02-11,618,31,298.8
facebook,2022-02-12,781,38,383.8
facebook,2022-02-13,705,36,356.7
facebook,2022-02-14,643,32,321.7
facebook,2022-02-15,669,33,336.3
facebook,2022-02-16,608,30,295.3
facebook,2022-02-17,698,35,346.7
facebook,2022-02-18,604,30,289.1
facebook,2022-02-19,711,36,375.7
facebook,2022-02-20,683,34,350.8
facebook,2022-02-21,568,29,276.0
facebook,2022-02-22,743,37,367.3
facebook,2022-02-23,571,28,280.5
facebook,2022-02-24,472,24,237.0
facebook,2022-02-25,1075,55,549.2
facebook,2022-02-26,730,37,366.2
facebook,2022-02-27,655,34,337.8
facebook,2022-02-28,766,38,383.9
facebook,2022-03-01,781,40,401.5
facebook,2022-03-02,604,31,294.5
facebook,2022-03-03,524,26,258.1
facebook,2022-03-04,545,27,266.2
facebook,2022-03-05,710,35,351.5
facebook,2022-03-06,677,35,343.6
facebook,2022-03-07,612,30,306.8
facebook,2022-03-08,733,38,379.4
facebook,2022-03-09,701,35,340.1
facebook,2022-03-10,822,41,409.7
facebook,2022-03-11,784,39,387.8
facebook,2022-03-12,539,26,254.1
facebook,2022-03-13,546,28,279.4
facebook,2022-03-14,627,31,300.5
facebook,2022-03-15,489,25,252.3
facebook,2022-03-16,804,40,404.5
facebook,2022-03-17,632,32,312.8
facebook,2022-03-18,545,27,269.0
facebook,2022-03-19,542,27,271.3
facebook,2022-03-20,383,20,209.3
facebook,2022-03-21,562,28,278.0
facebook,2022-03-22,479,24,234.1
facebook,2022-03-23,743,38,374.1
facebook,2022-03-24,638,32,317.1
facebook,2022-03-25,590,30,299.5
facebook,2022-03-26,695,34,344.0
facebook,2022-03-27,640,32,302.9
facebook,2022-03-28,489,25,246.9
facebook,2022-03-29,496,25,254.2
facebook,2022-03-30,713,36,363.6
facebook,2022-03-31,484,24,236.4
facebook,2022-04-01,838,42,423.7
facebook,2022-04-02,961,48,477.2
facebook,2022-04-03,541,28,267.2
facebook,2022-04-04,628,31,300.8
facebook,2022-04-05,494,25,244.5
facebook,2022-04-06,563,28,280.8
facebook,2022-04-07,548,28,274.0
facebook,2022-04-08,784,40,400.4
facebook,2022-04-09,861,43,428.1
facebook,2022-04-10,883,45,455.9
facebook,2022-04-11,799,40,392.7
facebook,2022-04-12,609,31,305.4
facebook,2022-04-13,765,38,379.5
facebook,2022-04-14,530,26,259.7
facebook,2022-04-15,808,40,410.6
facebook,2022-04-16,712,35,352.9
facebook,2022-04-17,787,40,400.9
facebook,2022-04-18,884,43,422.5
facebook,2022-04-19,771,39,380.4
facebook,2022-04-20,992,49,479.5
facebook,2022-04-21,625,31,308.8
facebook,2022-04-22,519,27,262.6
facebook,2022-04-23,735,38,381.7
facebook,2022-04-24,578,29,285.8
facebook,2022-04-25,654,32,325.4
facebook,2022-04-26,729,36,363.8
facebook,2022-04-27,753,38,379.0
facebook,2022-04-28,568,30,294.2
facebook,2022-04-29,658,34,343.1
facebook,2022-04-30,500,26,258.2
facebook,2022-05-01,621,31,316.5
facebook,2022-05-02,700,35,344.3
facebook,2022-05-03,686,35,346.5
facebook,2022-05-04,697,35,347.9
facebook,2022-05-05,827,41,421.7
facebook,2022-05-06,900,45,451.5
facebook,2022-05-07,677,33,340.8
facebook,2022-05-08,604,30,288.1
facebook,2022-05-09,807,40,393.2
facebook,2022-05-10,722,37,351.7
facebook,2022-05-11,638,32,315.7
facebook,2022-05-12,593,30,299.5
facebook,2022-05-13,804,39,382.9
facebook,2022-05-14,654,32,314.0
facebook,2022-05-15,561,28,283.7
facebook,2022-05-16,780,40,407.3
facebook,2022-05-17,555,29,286.5
facebook,2022-05-18,600,30,313.7
facebook,2022-05-19,592,30,292.6
facebook,2022-05-20,684,35,334.0
facebook,2022-05-21,481,25,252.7
facebook,2022-05-22,603,31,305.0
facebook,2022-05-23,641,33,322.9
facebook,2022-05-24,743,37,373.0
facebook,2022-05-25,841,41,399.6
facebook,2022-05-26,709,37,364.4
facebook,2022-05-27,743,38,377.6
facebook,2022-05-28,678,34,347.4
facebook,2022-05-29,694,36,359.7
facebook,2022-05-30,734,37,376.3
facebook,2022-05-31,513,26,257.2
facebook,2022-06-01,701,36,352.7
facebook,2022-06-02,530,27,265.0
facebook,2022-06-03,592,29,289.0
facebook,2022-06-04,599,30,301.9
facebook,2022-06-05,632,31,319.0
facebook,2022-06-06,752,37,367.9
facebook,2022-06-07,583,30,299.7
facebook,2022-06-08,928,48,459.8
facebook,2022-06-09,758,39,394.5
facebook,2022-06-10,693,35,342.6
facebook,2022-06-11,1006,51,505.6
facebook,2022-06-12,962,49,491.1
facebook,2022-06-13,872,45,456.9
facebook,2022-06-14,941,47,482.3
facebook,2022-06-15,852,44,460.9
facebook,2022-06-16,797,40,390.2
facebook,2022-06-17,967,49,485.1
facebook,2022-06-18,877,45,448.7
facebook,2022-06-19,986,50,494.8
facebook,2022-06-20,880,44,452.4
facebook,2022-06-21,792,40,390.0
facebook,2022-06-22,945,47,470.8
facebook,2022-06-23,909,45,447.3
facebook,2022-06-24,609,31,314.2
facebook,2022-06-25,991,50,479.9
facebook,2022-06-26,885,45,443.1
facebook,2022-06-27,732,36,352.9
facebook,2022-06-28,941,47,471.6
facebook,2022-06-29,752,39,382.4
facebook,2022-06-30,1129,56,562.6
facebook,2022-07-01,1233,63,629.5
facebook,2022-07-02,1193,60,604.9
