order_id,order_date,order_amount,order_quantity,client_type
111,2022-01-14 08:25:36.512170723,96.3,1,corporate
112,2022-01-14 11:20:23.207735912,93.6,3,corporate
113,2022-01-14 14:15:09.903301100,91.8,3,corporate
114,2022-01-14 17:09:56.598866288,96.3,1,corporate
115,2022-01-14 20:04:43.294431477,88.2,2,corporate
116,2022-01-14 22:59:29.989996665,96.3,4,corporate
117,2022-01-15 01:54:16.685561854,95.4,1,individual
118,2022-01-15 04:49:03.381127042,95.4,1,individual
119,2022-01-15 07:43:50.076692230,86.4,3,corporate
120,2022-01-15 10:38:36.772257419,90.0,1,corporate
121,2022-01-15 13:33:23.467822607,88.2,4,corporate
122,2022-01-15 16:28:10.163387796,86.4,3,individual
123,2022-01-15 19:22:56.858952984,87.3,4,individual
124,2022-01-15 22:17:43.554518172,93.6,4,corporate
125,2022-01-16 01:12:30.250083361,81.0,1,individual
126,2022-01-16 04:07:16.945648549,92.7,3,individual
127,2022-01-16 07:02:03.641213738,89.1,4,individual
128,2022-01-16 09:56:50.336778926,91.8,2,corporate
129,2022-01-16 12:51:37.032344114,94.5,4,individual
130,2022-01-16 15:46:23.727909303,90.0,4,individual
131,2022-01-16 18:41:10.423474491,95.4,4,corporate
132,2022-01-16 21:35:57.119039680,93.6,4,corporate
133,2022-01-17 00:30:43.814604868,92.7,4,corporate
134,2022-01-17 03:25:30.510170056,92.7,2,corporate
135,2022-01-17 06:20:17.205735245,95.4,2,corporate
136,2022-01-17 09:15:03.901300433,90.0,4,corporate
137,2022-01-17 12:09:50.596865622,82.8,1,corporate
138,2022-01-17 15:04:37.292430810,81.0,1,individual
139,2022-01-17 17:59:23.987995998,86.4,1,corporate
140,2022-01-17 20:54:10.683561187,84.6,1,individual
141,2022-01-17 23:48:57.379126375,90.0,1,corporate
142,2022-01-18 02:43:44.074691564,82.8,1,corporate
143,2022-01-18 05:38:30.770256752,90.0,1,individual
144,2022-01-18 08:33:17.465821940,94.5,3,individual
145,2022-01-18 11:28:04.161387129,93.6,3,individual
146,2022-01-18 14:22:50.856952317,86.4,2,corporate
147,2022-01-18 17:17:37.552517506,90.0,2,corporate
148,2022-01-18 20:12:24.248082694,90.9,2,corporate
149,2022-01-18 23:07:10.943647882,87.3,1,individual
150,2022-01-19 02:01:57.639213071,86.4,2,corporate
151,2022-01-19 04:56:44.334778259,86.4,1,corporate
152,2022-01-19 07:51:31.030343447,93.6,1,individual
153,2022-01-19 10:46:17.725908636,95.4,4,individual
154,2022-01-19 13:41:04.421473824,87.3,4,corporate
155,2022-01-19 16:35:51.117039013,97.2,2,corporate
156,2022-01-19 19:30:37.812604201,83.7,3,corporate
157,2022-01-19 22:25:24.508169389,86.4,1,corporate
158,2022-01-20 01:20:11.203734578,81.0,1,corporate
159,2022-01-20 04:14:57.899299766,82.8,3,corporate
160,2022-01-20 07:09:44.594864955,90.9,2,corporate
161,2022-01-20 10:04:31.290430143,94.5,4,individual
162,2022-01-20 12:59:17.985995331,91.8,3,individual
163,2022-01-20 15:54:04.681560520,81.0,4,corporate
164,2022-01-20 18:48:51.377125708,90.9,3,corporate
165,2022-01-20 21:43:38.072690897,81.0,4,corporate
166,2022-01-21 00:38:24.768256085,90.9,3,corporate
167,2022-01-21 03:33:11.463821273,92.7,3,individual
168,2022-01-21 06:27:58.159386462,98.1,3,individual
169,2022-01-21 09:22:44.854951650,92.7,2,corporate
170,2022-01-21 12:17:31.550516839,94.5,4,corporate
171,2022-01-21 15:12:18.246082027,89.1,3,corporate
172,2022-01-21 18:07:04.941647215,94.5,2,individual
173,2022-01-21 21:01:51.637212404,96.3,1,corporate
174,2022-01-21 23:56:38.332777592,94.5,1,individual
175,2022-01-22 02:51:25.028342781,85.5,3,corporate
176,2022-01-22 05:46:11.723907969,90.9,3,corporate
177,2022-01-22 08:40:58.419473157,86.4,3,corporate
178,2022-01-22 11:35:45.115038346,96.3,4,corporate
179,2022-01-22 14:30:31.810603534,83.7,4,individual
180,2022-01-22 17:25:18.506168723,92.7,2,corporate
181,2022-01-22 20:20:05.201733911,85.5,2,individual
182,2022-01-22 23:14:51.897299099,89.1,4,individual
183,2022-01-23 02:09:38.592864288,83.7,1,individual
184,2022-01-23 05:04:25.288429476,90.0,1,corporate
185,2022-01-23 07:59:11.983994665,98.1,1,corporate
186,2022-01-23 10:53:58.679559853,87.3,1,individual
187,2022-01-23 13:48:45.375125041,84.6,3,corporate
188,2022-01-23 16:43:32.070690230,97.2,1,corporate
189,2022-01-23 19:38:18.766255418,94.5,1,individual
190,2022-01-23 22:33:05.461820607,93.6,1,corporate
191,2022-01-24 01:27:52.157385795,93.6,3,corporate
192,2022-01-24 04:22:38.852950983,90.0,2,individual
193,2022-01-24 07:17:25.548516172,81.0,3,corporate
194,2022-01-24 10:12:12.244081360,98.1,2,corporate
195,2022-01-24 13:06:58.939646549,97.2,3,corporate
196,2022-01-24 16:01:45.635211737,90.9,4,corporate
197,2022-01-24 18:56:32.330776925,83.7,1,corporate
198,2022-01-24 21:51:19.026342114,89.1,4,corporate
199,2022-01-25 00:46:05.721907302,81.0,3,individual
200,2022-01-25 03:40:52.417472491,94.5,4,individual
201,2022-01-25 06:35:39.113037679,86.4,3,corporate
202,2022-01-25 09:30:25.808602867,87.3,3,individual
203,2022-01-25 12:25:12.504168056,95.4,2,individual
204,2022-01-25 15:19:59.199733244,87.3,3,corporate
205,2022-01-25 18:14:45.895298433,87.3,3,corporate
206,2022-01-25 21:09:32.590863621,82.8,2,individual
207,2022-01-26 00:04:19.286428809,97.2,2,corporate
208,2022-01-26 02:59:05.981993998,90.0,1,corporate
209,2022-01-26 05:53:52.677559186,92.7,4,individual
210,2022-01-26 08:48:39.373124374,90.0,4,corporate
211,2022-01-26 11:43:26.068689563,89.1,3,corporate
212,2022-01-26 14:38:12.764254751,82.8,2,individual
213,2022-01-26 17:32:59.459819940,91.8,2,individual
214,2022-01-26 20:27:46.155385128,96.3,3,individual
215,2022-01-26 23:22:32.850950316,98.1,4,individual
216,2022-01-27 02:17:19.546515505,83.7,2,corporate
217,2022-01-27 05:12:06.242080693,91.8,4,individual
218,2022-01-27 08:06:52.937645882,93.6,1,corporate
219,2022-01-27 11:01:39.633211070,84.6,2,individual
220,2022-01-27 13:56:26.328776259,84.6,2,corporate
221,2022-01-27 16:51:13.024341447,88.2,3,corporate
222,2022-01-27 19:45:59.719906635,84.6,2,individual
223,2022-01-27 22:40:46.415471824,88.2,2,corporate
224,2022-01-28 01:35:33.111037012,83.7,2,corporate
225,2022-01-28 04:30:19.806602201,93.6,2,individual
226,2022-01-28 07:25:06.502167389,82.8,2,corporate
227,2022-01-28 10:19:53.197732577,96.3,4,corporate
228,2022-01-28 13:14:39.893297766,97.2,2,individual
229,2022-01-28 16:09:26.588862954,97.2,2,corporate
230,2022-01-28 19:04:13.284428143,92.7,3,individual
231,2022-01-28 21:58:59.979993331,87.3,4,corporate
232,2022-01-29 00:53:46.675558519,81.0,2,corporate
233,2022-01-29 03:48:33.371123708,92.7,4,individual
234,2022-01-29 06:43:20.066688896,95.4,3,individual
235,2022-01-29 09:38:06.762254085,83.7,4,corporate
236,2022-01-29 12:32:53.457819273,98.1,4,individual
237,2022-01-29 15:27:40.153384461,95.4,3,corporate
238,2022-01-29 18:22:26.848949650,81.0,4,corporate
239,2022-01-29 21:17:13.544514838,88.2,3,corporate
240,2022-01-30 00:12:00.240080027,83.7,2,individual
241,2022-01-30 03:06:46.935645215,94.5,1,corporate
242,2022-01-30 06:01:33.631210403,90.0,1,corporate
243,2022-01-30 08:56:20.326775592,87.3,3,individual
244,2022-01-30 11:51:07.022340780,98.1,4,corporate
245,2022-01-30 14:45:53.717905968,94.5,4,corporate
246,2022-01-30 17:40:40.413471157,90.9,4,corporate
247,2022-01-30 20:35:27.109036345,94.5,4,individual
248,2022-01-30 23:30:13.804601534,90.9,1,individual
249,2022-01-31 02:25:00.500166722,82.8,2,corporate
250,2022-01-31 05:19:47.195731910,81.0,4,corporate
251,2022-01-31 08:14:33.891297099,90.0,1,corporate
252,2022-01-31 11:09:20.586862287,84.6,3,individual
253,2022-01-31 14:04:07.282427476,93.6,2,corporate
254,2022-01-31 16:58:53.977992664,90.9,3,individual
255,2022-01-31 19:53:40.673557852,84.6,3,individual
256,2022-01-31 22:48:27.369123041,85.5,4,individual
257,2022-02-01 01:43:14.064688229,89.1,3,corporate
258,2022-02-01 04:38:00.760253418,86.4,4,corporate
259,2022-02-01 07:32:47.455818606,91.8,3,corporate
260,2022-02-01 10:27:34.151383794,92.7,4,corporate
261,2022-02-01 13:22:20.846948983,90.0,3,corporate
262,2022-02-01 16:17:07.542514171,86.4,4,individual
263,2022-02-01 19:11:54.238079360,94.5,4,individual
264,2022-02-01 22:06:40.933644548,82.8,1,individual
265,2022-02-02 01:01:27.629209736,87.3,3,corporate
266,2022-02-02 03:56:14.324774925,94.5,3,individual
267,2022-02-02 06:51:01.020340113,92.7,4,corporate
268,2022-02-02 09:45:47.715905302,81.9,3,corporate
269,2022-02-02 12:40:34.411470490,98.1,1,individual
270,2022-02-02 15:35:21.107035678,85.5,4,corporate
271,2022-02-02 18:30:07.802600867,86.4,4,individual
272,2022-02-02 21:24:54.498166055,96.3,1,individual
273,2022-02-03 00:19:41.193731244,94.5,1,corporate
274,2022-02-03 03:14:27.889296432,95.4,1,individual
275,2022-02-03 06:09:14.584861620,91.8,3,corporate
276,2022-02-03 09:04:01.280426809,89.1,1,corporate
277,2022-02-03 11:58:47.975991997,86.4,2,corporate
278,2022-02-03 14:53:34.671557186,93.6,3,individual
279,2022-02-03 17:48:21.367122374,87.3,2,corporate
280,2022-02-03 20:43:08.062687562,96.3,4,corporate
281,2022-02-03 23:37:54.758252751,93.6,1,corporate
282,2022-02-04 02:32:41.453817939,84.6,3,corporate
283,2022-02-04 05:27:28.149383128,97.2,4,individual
284,2022-02-04 08:22:14.844948316,85.5,3,corporate
285,2022-02-04 11:17:01.540513504,88.2,4,individual
286,2022-02-04 14:11:48.236078693,84.6,1,corporate
287,2022-02-04 17:06:34.931643881,94.5,2,individual
288,2022-02-04 20:01:21.627209070,91.8,3,individual
289,2022-02-04 22:56:08.322774258,93.6,3,individual
290,2022-02-05 01:50:55.018339446,89.1,3,individual
291,2022-02-05 04:45:41.713904635,92.7,2,individual
292,2022-02-05 07:40:28.409469823,97.2,3,individual
293,2022-02-05 10:35:15.105035012,81.0,4,corporate
294,2022-02-05 13:30:01.800600200,96.3,4,corporate
295,2022-02-05 16:24:48.496165388,81.9,3,corporate
296,2022-02-05 19:19:35.191730577,81.0,2,corporate
297,2022-02-05 22:14:21.887295765,98.1,4,individual
298,2022-02-06 01:09:08.582860954,85.5,2,individual
299,2022-02-06 04:03:55.278426142,98.1,3,individual
300,2022-02-06 06:58:41.973991330,82.8,2,corporate
301,2022-02-06 09:53:28.669556519,95.4,2,individual
302,2022-02-06 12:48:15.365121707,96.3,4,corporate
303,2022-02-06 15:43:02.060686895,97.2,2,individual
304,2022-02-06 18:37:48.756252084,81.9,2,corporate
305,2022-02-06 21:32:35.451817272,95.4,4,individual
306,2022-02-07 00:27:22.147382461,90.9,3,corporate
307,2022-02-07 03:22:08.842947649,82.8,3,individual
308,2022-02-07 06:16:55.538512837,91.8,1,individual
309,2022-02-07 09:11:42.234078026,90.0,3,individual
310,2022-02-07 12:06:28.929643214,86.4,2,individual
311,2022-02-07 15:01:15.625208403,95.4,4,corporate
312,2022-02-07 17:56:02.320773591,84.6,3,individual
313,2022-02-07 20:50:49.016338779,91.8,3,corporate
314,2022-02-07 23:45:35.711903968,95.4,2,corporate
315,2022-02-08 02:40:22.407469156,81.0,1,individual
316,2022-02-08 05:35:09.103034345,91.8,1,individual
317,2022-02-08 08:29:55.798599533,86.4,2,individual
318,2022-02-08 11:24:42.494164721,98.1,1,individual
319,2022-02-08 14:19:29.189729910,97.2,1,individual
320,2022-02-08 17:14:15.885295098,95.4,3,corporate
321,2022-02-08 20:09:02.580860287,81.9,2,corporate
322,2022-02-08 23:03:49.276425475,94.5,3,individual
323,2022-02-09 01:58:35.971990663,90.9,3,individual
324,2022-02-09 04:53:22.667555852,89.1,3,corporate
325,2022-02-09 07:48:09.363121040,91.8,4,corporate
326,2022-02-09 10:42:56.058686229,96.3,1,corporate
327,2022-02-09 13:37:42.754251417,85.5,3,individual
328,2022-02-09 16:32:29.449816605,81.0,4,corporate
329,2022-02-09 19:27:16.145381794,90.9,4,individual
330,2022-02-09 22:22:02.840946982,97.2,2,individual
331,2022-02-10 01:16:49.536512171,96.3,3,corporate
332,2022-02-10 04:11:36.232077359,90.9,4,individual
333,2022-02-10 07:06:22.927642547,87.3,2,corporate
334,2022-02-10 10:01:09.623207736,81.0,1,individual
335,2022-02-10 12:55:56.318772924,91.8,3,corporate
336,2022-02-10 15:50:43.014338113,81.0,1,individual
337,2022-02-10 18:45:29.709903301,95.4,1,individual
338,2022-02-10 21:40:16.405468489,88.2,3,corporate
339,2022-02-11 00:35:03.101033678,87.3,3,individual
340,2022-02-11 03:29:49.796598866,84.6,1,corporate
341,2022-02-11 06:24:36.492164055,87.3,1,corporate
342,2022-02-11 09:19:23.187729243,91.8,1,individual
343,2022-02-11 12:14:09.883294431,91.8,2,individual
344,2022-02-11 15:08:56.578859620,86.4,3,corporate
345,2022-02-11 18:03:43.274424808,85.5,1,corporate
346,2022-02-11 20:58:29.969989997,82.8,1,corporate
347,2022-02-11 23:53:16.665555185,97.2,4,corporate
348,2022-02-12 02:48:03.361120373,98.1,1,corporate
349,2022-02-12 05:42:50.056685562,88.2,4,corporate
350,2022-02-12 08:37:36.752250750,95.4,3,corporate
351,2022-02-12 11:32:23.447815939,90.0,3,corporate
352,2022-02-12 14:27:10.143381127,87.3,3,corporate
353,2022-02-12 17:21:56.838946315,98.1,2,corporate
354,2022-02-12 20:16:43.534511504,90.9,3,individual
355,2022-02-12 23:11:30.230076692,88.2,1,individual
356,2022-02-13 02:06:16.925641881,94.5,4,individual
357,2022-02-13 05:01:03.621207069,88.2,2,individual
358,2022-02-13 07:55:50.316772257,92.7,4,corporate
359,2022-02-13 10:50:37.012337446,94.5,2,individual
360,2022-02-13 13:45:23.707902634,91.8,1,individual
361,2022-02-13 16:40:10.403467822,87.3,3,corporate
362,2022-02-13 19:34:57.099033011,96.3,3,individual
363,2022-02-13 22:29:43.794598199,81.0,3,individual
364,2022-02-14 01:24:30.490163388,84.6,4,corporate
365,2022-02-14 04:19:17.185728576,84.6,4,individual
366,2022-02-14 07:14:03.881293764,81.9,2,corporate
367,2022-02-14 10:08:50.576858953,84.6,1,individual
368,2022-02-14 13:03:37.272424141,95.4,2,corporate
369,2022-02-14 15:58:23.967989330,81.0,3,individual
370,2022-02-14 18:53:10.663554518,81.0,2,corporate
371,2022-02-14 21:47:57.359119706,95.4,1,individual
372,2022-02-15 00:42:44.054684895,94.5,3,individual
373,2022-02-15 03:37:30.750250083,89.1,1,individual
374,2022-02-15 06:32:17.445815272,81.0,1,individual
375,2022-02-15 09:27:04.141380460,85.5,1,individual
376,2022-02-15 12:21:50.836945648,94.5,3,individual
377,2022-02-15 15:16:37.532510837,92.7,4,individual
378,2022-02-15 18:11:24.228076025,81.0,2,corporate
379,2022-02-15 21:06:10.923641214,96.3,1,corporate
380,2022-02-16 00:00:57.619206402,91.8,3,corporate
381,2022-02-16 02:55:44.314771590,96.3,1,individual
382,2022-02-16 05:50:31.010336779,95.4,4,individual
383,2022-02-16 08:45:17.705901967,87.3,2,corporate
384,2022-02-16 11:40:04.401467156,89.1,3,corporate
385,2022-02-16 14:34:51.097032344,93.6,3,corporate
386,2022-02-16 17:29:37.792597532,82.8,1,corporate
387,2022-02-16 20:24:24.488162721,93.6,1,individual
388,2022-02-16 23:19:11.183727909,84.6,4,corporate
389,2022-02-17 02:13:57.879293098,81.0,2,corporate
390,2022-02-17 05:08:44.574858286,88.2,4,corporate
391,2022-02-17 08:03:31.270423474,93.6,1,individual
392,2022-02-17 10:58:17.965988663,91.8,2,individual
393,2022-02-17 13:53:04.661553851,81.9,1,corporate
394,2022-02-17 16:47:51.357119040,94.5,1,corporate
395,2022-02-17 19:42:38.052684228,84.6,3,corporate
396,2022-02-17 22:37:24.748249416,96.3,1,individual
397,2022-02-18 01:32:11.443814605,95.4,2,individual
398,2022-02-18 04:26:58.139379793,86.4,3,individual
399,2022-02-18 07:21:44.834944982,83.7,2,corporate
400,2022-02-18 10:16:31.530510170,95.4,4,individual
401,2022-02-18 13:11:18.226075358,90.9,4,corporate
402,2022-02-18 16:06:04.921640547,81.0,2,corporate
403,2022-02-18 19:00:51.617205735,93.6,4,individual
404,2022-02-18 21:55:38.312770924,90.0,2,individual
405,2022-02-19 00:50:25.008336112,95.4,3,corporate
406,2022-02-19 03:45:11.703901300,97.2,4,individual
407,2022-02-19 06:39:58.399466489,85.5,2,individual
408,2022-02-19 09:34:45.095031677,96.3,3,corporate
409,2022-02-19 12:29:31.790596866,86.4,1,corporate
410,2022-02-19 15:24:18.486162054,91.8,3,corporate
411,2022-02-19 18:19:05.181727242,95.4,3,individual
412,2022-02-19 21:13:51.877292431,98.1,1,corporate
413,2022-02-20 00:08:38.572857619,96.3,4,corporate
414,2022-02-20 03:03:25.268422807,88.2,2,corporate
415,2022-02-20 05:58:11.963987996,86.4,3,individual
416,2022-02-20 08:52:58.659553184,81.0,3,individual
417,2022-02-20 11:47:45.355118373,84.6,3,individual
418,2022-02-20 14:42:32.050683561,83.7,4,individual
419,2022-02-20 17:37:18.746248749,92.7,3,individual
420,2022-02-20 20:32:05.441813938,94.5,1,individual
421,2022-02-20 23:26:52.137379126,82.8,3,corporate
422,2022-02-21 02:21:38.832944315,98.1,1,corporate
423,2022-02-21 05:16:25.528509503,93.6,2,corporate
424,2022-02-21 08:11:12.224074691,92.7,2,individual
425,2022-02-21 11:05:58.919639880,97.2,3,individual
426,2022-02-21 14:00:45.615205068,83.7,2,corporate
427,2022-02-21 16:55:32.310770257,84.6,3,corporate
428,2022-02-21 19:50:19.006335445,90.0,2,corporate
429,2022-02-21 22:45:05.701900633,81.0,2,corporate
430,2022-02-22 01:39:52.397465822,81.9,3,individual
431,2022-02-22 04:34:39.093031010,90.9,4,corporate
432,2022-02-22 07:29:25.788596199,94.5,2,individual
433,2022-02-22 10:24:12.484161387,87.3,4,individual
434,2022-02-22 13:18:59.179726576,90.9,3,individual
435,2022-02-22 16:13:45.875291764,91.8,3,corporate
436,2022-02-22 19:08:32.570856952,91.8,1,corporate
437,2022-02-22 22:03:19.266422141,87.3,3,corporate
438,2022-02-23 00:58:05.961987329,90.9,3,individual
439,2022-02-23 03:52:52.657552518,93.6,4,corporate
440,2022-02-23 06:47:39.353117706,97.2,1,individual
441,2022-02-23 09:42:26.048682894,96.3,1,individual
442,2022-02-23 12:37:12.744248083,90.0,3,individual
443,2022-02-23 15:31:59.439813271,90.9,3,corporate
444,2022-02-23 18:26:46.135378460,81.0,1,individual
445,2022-02-23 21:21:32.830943648,89.1,1,corporate
446,2022-02-24 00:16:19.526508836,89.1,4,corporate
447,2022-02-24 03:11:06.222074025,97.2,1,individual
448,2022-02-24 06:05:52.917639213,94.5,1,individual
449,2022-02-24 09:00:39.613204402,90.0,4,individual
450,2022-02-24 11:55:26.308769590,90.0,1,corporate
451,2022-02-24 14:50:13.004334778,86.4,4,individual
452,2022-02-24 17:44:59.699899967,97.2,3,corporate
453,2022-02-24 20:39:46.395465155,89.1,4,individual
454,2022-02-24 23:34:33.091030344,92.7,4,individual
455,2022-02-25 02:29:19.786595532,86.4,1,individual
456,2022-02-25 05:24:06.482160720,84.6,3,corporate
457,2022-02-25 08:18:53.177725909,92.7,1,corporate
458,2022-02-25 11:13:39.873291097,97.2,3,individual
459,2022-02-25 14:08:26.568856286,90.9,2,corporate
460,2022-02-25 17:03:13.264421474,94.5,2,corporate
461,2022-02-25 19:57:59.959986662,97.2,1,corporate
462,2022-02-25 22:52:46.655551851,90.0,3,corporate
463,2022-02-26 01:47:33.351117039,89.1,3,individual
464,2022-02-26 04:42:20.046682228,96.3,4,individual
465,2022-02-26 07:37:06.742247416,97.2,1,corporate
466,2022-02-26 10:31:53.437812604,84.6,1,corporate
467,2022-02-26 13:26:40.133377793,88.2,4,individual
468,2022-02-26 16:21:26.828942981,81.0,2,corporate
469,2022-02-26 19:16:13.524508170,95.4,4,individual
470,2022-02-26 22:11:00.220073358,86.4,2,corporate
471,2022-02-27 01:05:46.915638546,93.6,4,individual
472,2022-02-27 04:00:33.611203735,87.3,1,corporate
473,2022-02-27 06:55:20.306768923,86.4,2,corporate
474,2022-02-27 09:50:07.002334112,87.3,4,individual
475,2022-02-27 12:44:53.697899300,97.2,4,individual
476,2022-02-27 15:39:40.393464488,91.8,4,corporate
477,2022-02-27 18:34:27.089029677,93.6,2,corporate
478,2022-02-27 21:29:13.784594865,90.0,1,corporate
479,2022-02-28 00:24:00.480160054,82.8,3,individual
480,2022-02-28 03:18:47.175725242,82.8,1,corporate
481,2022-02-28 06:13:33.871290430,87.3,4,individual
482,2022-02-28 09:08:20.566855619,91.8,2,individual
483,2022-02-28 12:03:07.262420807,97.2,2,individual
484,2022-02-28 14:57:53.957985996,90.9,3,corporate
485,2022-02-28 17:52:40.653551184,86.4,3,individual
486,2022-02-28 20:47:27.349116372,86.4,3,corporate
487,2022-02-28 23:42:14.044681561,89.1,2,corporate
488,2022-03-01 02:37:00.740246749,84.6,2,corporate
489,2022-03-01 05:31:47.435811937,91.8,2,corporate
