date,ad_channel,impressions,clicks,ad_spend,country
2018-07-12,instagram,588,588,221.18,US
2018-07-13,facebook,214,214,99.0,Argentina
2018-07-13,facebook,162,162,104.0,US
2018-07-14,facebook,186,186,94.0,Argentina
2018-07-14,instagram,282,282,111.76,US
2018-07-15,facebook,174,174,115.0,China
2018-07-15,google,129,129,27.14,China
2018-07-16,facebook,186,186,91.0,India
2018-07-16,instagram,338,338,97.65,Argentina
2018-07-16,instagram,276,276,137.65,France
2018-07-16,instagram,262,262,125.88,Spain
2018-07-17,facebook,192,192,109.0,Sweden
2018-07-17,instagram,253,253,100.0,China
2018-07-18,google,113,113,20.48,China
2018-07-18,google,105,105,25.24,Sweden
2018-07-18,instagram,324,324,121.18,Canada
2018-07-18,instagram,271,271,136.47,US
2018-07-19,facebook,186,186,112.0,Canada
2018-07-19,google,96,96,21.19,UK
2018-07-19,instagram,256,256,116.47,Argentina
2018-07-19,instagram,324,324,125.88,US
2018-07-20,facebook,182,182,94.0,UK
2018-07-20,google,102,102,25.48,China
2018-07-20,instagram,329,329,117.65,Spain
2018-07-20,instagram,297,297,132.94,UK
2018-07-20,instagram,250,250,122.35,US
2018-07-21,facebook,234,234,116.0,US
2018-07-21,instagram,300,300,128.24,China
2018-07-21,instagram,288,288,121.18,US
2018-07-22,facebook,470,470,206.0,Canada
2018-07-22,facebook,204,204,117.0,US
2018-07-22,google,131,131,19.05,India
2018-07-22,instagram,235,235,112.94,India
2018-07-22,instagram,324,324,115.29,Sweden
2018-07-23,facebook,200,200,99.0,Canada
2018-07-23,facebook,230,230,88.0,Danmark
2018-07-23,google,139,139,24.05,Spain
2018-07-23,instagram,241,241,128.24,Canada
2018-07-24,facebook,202,202,93.0,UK
2018-07-24,google,111,111,26.9,UK
2018-07-24,google,123,123,20.95,US
2018-07-25,google,105,105,27.14,India
2018-07-25,instagram,588,588,200.0,China
2018-07-25,instagram,274,274,134.12,India
2018-07-26,facebook,202,202,116.0,Germany
2018-07-26,facebook,234,234,105.0,Spain
2018-07-26,instagram,268,268,122.35,Brazil
2018-07-26,instagram,253,253,105.88,India
2018-07-26,instagram,347,347,103.53,Sweden
2018-07-27,instagram,265,265,112.94,China
2018-07-27,instagram,326,326,105.88,US
2018-07-28,facebook,180,180,99.0,Spain
2018-07-28,instagram,309,309,124.71,UK
2018-07-29,facebook,210,210,105.0,US
2018-07-30,facebook,202,202,99.0,Sweden
2018-07-30,facebook,208,208,83.0,US
2018-07-30,google,104,104,23.1,China
2018-07-30,instagram,303,303,138.82,Brazil
2018-07-30,instagram,268,268,118.82,Spain
2018-07-31,facebook,206,206,101.0,India
2018-07-31,google,117,117,21.43,US
2018-07-31,instagram,635,635,218.82,India
2018-07-31,instagram,297,297,121.18,UK
2018-08-01,instagram,315,315,121.18,China
2018-08-02,facebook,214,214,103.0,Sweden
2018-08-03,instagram,259,259,96.47,Germany
2018-08-04,google,131,131,19.76,India
2018-08-04,instagram,324,324,109.41,US
2018-08-05,facebook,174,174,109.0,Danmark
2018-08-05,facebook,182,182,83.0,Germany
2018-08-05,facebook,196,196,101.0,Sweden
2018-08-05,instagram,597,597,242.35,Canada
2018-08-05,instagram,253,253,104.71,India
2018-08-06,facebook,200,200,108.0,Canada
2018-08-06,google,108,108,19.52,Sweden
2018-08-07,facebook,196,196,97.0,China
2018-08-07,google,139,139,26.43,India
2018-08-07,google,124,124,20.95,Sweden
2018-08-07,instagram,309,309,127.06,India
2018-08-08,google,132,132,21.43,UK
2018-08-08,instagram,282,282,137.65,Danmark
2018-08-08,instagram,303,303,136.47,India
2018-08-09,instagram,235,235,128.24,China
2018-08-10,facebook,172,172,100.0,India
2018-08-10,facebook,234,234,113.0,US
2018-08-10,instagram,309,309,135.29,China
2018-08-10,instagram,288,288,117.65,Sweden
2018-08-11,facebook,208,208,88.0,Spain
2018-08-11,google,99,99,20.24,Canada
2018-08-11,google,114,114,27.14,UK
2018-08-11,google,123,123,26.43,US
2018-08-11,instagram,347,347,123.53,UK
2018-08-11,instagram,241,241,132.94,US
2018-08-12,facebook,232,232,97.0,Spain
2018-08-12,facebook,238,238,105.0,UK
2018-08-12,google,142,142,22.38,Germany
2018-08-12,instagram,344,344,124.71,Danmark
2018-08-12,instagram,291,291,100.0,US
2018-08-13,facebook,232,232,99.0,UK
2018-08-13,instagram,621,621,242.35,China
2018-08-13,instagram,294,294,109.41,France
2018-08-14,facebook,160,160,95.0,US
2018-08-14,google,129,129,20.24,Germany
2018-08-14,google,142,142,26.19,India
2018-08-15,facebook,164,164,87.0,Argentina
2018-08-15,facebook,238,238,94.0,India
2018-08-15,facebook,194,194,94.0,US
2018-08-15,google,115,115,20.71,UK
2018-08-15,instagram,262,262,110.59,Brazil
2018-08-15,instagram,276,276,100.0,China
2018-08-15,instagram,315,315,102.35,Sweden
2018-08-15,instagram,268,268,112.94,US
2018-08-16,facebook,216,216,98.0,Germany
2018-08-16,facebook,168,168,110.0,US
2018-08-16,instagram,312,312,138.82,Argentina
2018-08-17,facebook,218,218,115.0,US
2018-08-17,instagram,300,300,95.29,Danmark
2018-08-17,instagram,303,303,136.47,Sweden
2018-08-17,instagram,335,335,136.47,US
2018-08-18,facebook,230,230,86.0,China
2018-08-18,facebook,170,170,92.0,Spain
2018-08-18,facebook,194,194,84.0,UK
2018-08-18,instagram,324,324,123.53,US
2018-08-19,facebook,226,226,119.0,Danmark
2018-08-19,instagram,250,250,95.29,Brazil
2018-08-19,instagram,303,303,96.47,India
2018-08-20,facebook,198,198,95.0,US
2018-08-20,google,96,96,25.0,Brazil
2018-08-20,google,125,125,24.52,Danmark
2018-08-20,instagram,276,276,123.53,Argentina
2018-08-20,instagram,268,268,132.94,Brazil
2018-08-21,facebook,224,224,95.0,Canada
2018-08-21,google,110,110,24.05,Brazil
2018-08-21,instagram,256,256,105.88,Argentina
2018-08-21,instagram,244,244,105.88,Brazil
2018-08-21,instagram,312,312,103.53,India
2018-08-22,facebook,178,178,93.0,Canada
2018-08-22,instagram,282,282,128.24,Germany
2018-08-22,instagram,338,338,101.18,India
2018-08-23,facebook,224,224,107.0,US
2018-08-23,google,112,112,22.14,Canada
2018-08-23,instagram,303,303,128.24,Brazil
2018-08-23,instagram,256,256,95.29,China
2018-08-23,instagram,262,262,105.88,France
2018-08-23,instagram,244,244,98.82,UK
2018-08-24,google,111,111,20.0,India
2018-08-24,instagram,318,318,138.82,India
2018-08-25,google,95,95,20.24,Canada
2018-08-26,instagram,268,268,118.82,China
2018-08-27,facebook,384,384,197.0,China
2018-08-27,facebook,182,182,115.0,India
2018-08-28,instagram,347,347,95.29,Canada
2018-08-28,instagram,291,291,122.35,Sweden
2018-08-28,instagram,244,244,101.18,US
2018-08-29,facebook,226,226,88.0,US
2018-08-30,facebook,224,224,108.0,Spain
2018-08-30,facebook,168,168,119.0,US
2018-08-30,google,98,98,21.19,UK
2018-08-30,instagram,244,244,130.59,Brazil
2018-08-31,facebook,204,204,102.0,India
2018-08-31,google,108,108,19.05,Germany
2018-09-01,google,101,101,24.52,France
2018-09-01,instagram,312,312,124.71,Argentina
2018-09-02,instagram,309,309,138.82,Brazil
2018-09-03,google,138,138,26.67,Argentina
2018-09-03,google,113,113,23.33,Danmark
2018-09-03,instagram,617,617,250.59,US
2018-09-04,google,117,117,19.52,US
2018-09-04,instagram,291,291,134.12,Argentina
2018-09-04,instagram,321,321,135.29,Brazil
2018-09-04,instagram,276,276,98.82,China
2018-09-04,instagram,303,303,120.0,UK
2018-09-05,facebook,226,226,105.0,UK
2018-09-06,facebook,236,236,103.0,China
2018-09-06,facebook,218,218,116.0,US
2018-09-06,google,115,115,26.9,UK
2018-09-06,instagram,244,244,138.82,Canada
2018-09-06,instagram,253,253,96.47,Germany
2018-09-06,instagram,350,350,94.12,India
2018-09-07,facebook,234,234,83.0,UK
2018-09-07,facebook,188,188,80.0,US
2018-09-07,google,111,111,24.76,US
2018-09-07,instagram,321,321,128.24,Danmark
2018-09-09,facebook,214,214,91.0,US
2018-09-10,facebook,232,232,103.0,China
2018-09-10,google,137,137,26.9,US
2018-09-10,instagram,626,626,201.18,UK
2018-09-11,facebook,180,180,114.0,Sweden
2018-09-12,facebook,186,186,97.0,India
2018-09-12,instagram,259,259,110.59,US
2018-09-14,facebook,190,190,119.0,UK
2018-09-14,google,102,102,28.1,Brazil
2018-09-14,google,123,123,26.67,India
2018-09-15,facebook,206,206,100.0,US
2018-09-16,facebook,176,176,101.0,US
2018-09-16,instagram,247,247,122.35,Brazil
2018-09-16,instagram,306,306,111.76,Danmark
2018-09-17,facebook,218,218,119.0,Brazil
2018-09-17,google,118,118,23.81,Brazil
2018-09-17,instagram,306,306,115.29,Brazil
2018-09-18,google,127,127,24.05,UK
2018-09-18,instagram,247,247,128.24,UK
2018-09-18,instagram,285,285,131.76,US
2018-09-19,instagram,959,959,342.35,US
2018-09-20,google,113,113,24.29,UK
2018-09-20,instagram,282,282,109.41,India
2018-09-21,facebook,218,218,106.0,Brazil
2018-09-21,facebook,170,170,87.0,China
2018-09-21,facebook,170,170,103.0,UK
2018-09-21,google,106,106,25.71,US
2018-09-23,facebook,238,238,98.0,France
2018-09-24,instagram,347,347,116.47,India
2018-09-25,facebook,180,180,102.0,US
2018-09-25,instagram,326,326,121.18,UK
2018-09-26,facebook,214,214,98.0,France
2018-09-26,facebook,192,192,89.0,India
2018-09-26,google,106,106,25.24,China
2018-09-26,google,124,124,21.67,Danmark
2018-09-26,google,117,117,20.48,Spain
2018-09-26,instagram,265,265,105.88,Argentina
2018-09-26,instagram,321,321,98.82,India
2018-09-27,facebook,200,200,106.0,India
2018-09-27,facebook,234,234,103.0,US
2018-09-27,instagram,341,341,111.76,Germany
2018-09-27,instagram,274,274,127.06,US
2018-09-28,facebook,188,188,80.0,Canada
2018-09-28,facebook,638,638,281.0,US
2018-09-28,google,139,139,25.0,Canada
2018-09-28,instagram,274,274,94.12,China
2018-09-28,instagram,312,312,101.18,Danmark
2018-09-29,facebook,164,164,96.0,Argentina
2018-09-29,facebook,220,220,86.0,US
2018-09-29,instagram,262,262,125.88,Canada
2018-09-30,instagram,294,294,136.47,Spain
2018-09-30,instagram,300,300,101.18,US
2018-10-01,instagram,247,247,114.12,India
2018-10-02,facebook,162,162,82.0,India
2018-10-02,facebook,238,238,95.0,US
2018-10-02,google,133,133,24.52,US
2018-10-02,instagram,321,321,128.24,Argentina
2018-10-02,instagram,347,347,135.29,Danmark
2018-10-02,instagram,250,250,102.35,Germany
2018-10-03,facebook,184,184,108.0,Argentina
2018-10-03,facebook,198,198,112.0,China
2018-10-03,facebook,584,584,318.0,US
2018-10-03,instagram,329,329,140.0,China
2018-10-04,facebook,214,214,118.0,Argentina
2018-10-04,google,137,137,19.76,Germany
2018-10-04,instagram,259,259,124.71,Argentina
2018-10-04,instagram,326,326,96.47,Germany
2018-10-04,instagram,350,350,102.35,US
2018-10-05,instagram,271,271,94.12,Brazil
2018-10-07,facebook,186,186,109.0,France
2018-10-08,instagram,291,291,127.06,France
2018-10-08,instagram,312,312,131.76,Spain
2018-10-08,instagram,300,300,124.71,US
2018-10-09,instagram,271,271,128.24,US
2018-10-10,instagram,344,344,98.82,China
2018-10-11,facebook,238,238,116.0,UK
2018-10-11,google,107,107,21.43,Argentina
2018-10-11,instagram,276,276,107.06,China
2018-10-12,google,135,135,22.62,UK
2018-10-12,instagram,341,341,100.0,US
2018-10-13,facebook,190,190,94.0,Argentina
2018-10-13,facebook,168,168,108.0,India
2018-10-13,google,127,127,24.76,Brazil
2018-10-13,google,119,119,19.52,US
2018-10-13,instagram,247,247,136.47,India
2018-10-14,facebook,234,234,89.0,China
2018-10-14,facebook,178,178,81.0,US
2018-10-14,google,138,138,24.52,UK
2018-10-15,facebook,220,220,108.0,Argentina
2018-10-15,facebook,202,202,102.0,France
2018-10-15,facebook,200,200,89.0,Spain
2018-10-15,facebook,176,176,97.0,UK
2018-10-15,instagram,268,268,104.71,Argentina
2018-10-15,instagram,250,250,97.65,Brazil
2018-10-15,instagram,262,262,125.88,UK
2018-10-16,facebook,208,208,106.0,India
2018-10-16,google,107,107,24.05,Brazil
2018-10-16,instagram,259,259,107.06,Argentina
2018-10-16,instagram,309,309,135.29,India
2018-10-17,facebook,172,172,90.0,US
2018-10-17,google,123,123,26.67,France
2018-10-18,facebook,176,176,107.0,US
2018-10-18,google,102,102,20.95,Danmark
2018-10-18,instagram,262,262,102.35,US
2018-10-19,google,102,102,27.62,Spain
2018-10-20,facebook,178,178,100.0,Danmark
2018-10-20,google,113,113,21.67,China
2018-10-20,google,100,100,22.86,UK
2018-10-20,instagram,350,350,112.94,UK
2018-10-21,instagram,335,335,94.12,US
2018-10-22,facebook,196,196,102.0,Germany
2018-10-22,facebook,230,230,97.0,UK
2018-10-22,google,100,100,20.0,China
2018-10-22,instagram,268,268,131.76,China
2018-10-22,instagram,347,347,137.65,France
2018-10-22,instagram,326,326,123.53,Germany
2018-10-23,instagram,235,235,102.35,China
2018-10-23,instagram,344,344,105.88,Sweden
2018-10-24,facebook,164,164,80.0,China
2018-10-24,facebook,216,216,97.0,Germany
2018-10-25,facebook,196,196,109.0,Sweden
2018-10-25,google,133,133,23.33,US
2018-10-25,instagram,332,332,102.35,India
2018-10-26,google,99,99,28.33,Germany
2018-10-26,google,131,131,21.19,Spain
2018-10-26,google,98,98,20.0,US
2018-10-27,facebook,180,180,102.0,India
2018-10-27,google,124,124,25.48,Argentina
2018-10-27,google,119,119,27.86,Brazil
2018-10-27,google,114,114,25.48,Spain
2018-10-27,instagram,268,268,103.53,Argentina
2018-10-27,instagram,259,259,127.06,US
2018-10-28,facebook,228,228,99.0,Brazil
2018-10-28,facebook,164,164,92.0,China
2018-10-28,facebook,232,232,95.0,Sweden
2018-10-28,google,224,224,52.62,US
2018-10-28,instagram,285,285,104.71,China
2018-10-28,instagram,279,279,135.29,US
2018-10-29,google,126,126,20.71,Brazil
2018-10-29,instagram,276,276,132.94,Argentina
2018-10-29,instagram,300,300,97.65,China
2018-10-29,instagram,335,335,138.82,India
2018-10-30,facebook,370,370,211.0,US
2018-10-30,instagram,341,341,112.94,Argentina
2018-10-30,instagram,279,279,115.29,China
2018-10-30,instagram,326,326,114.12,Germany
2018-10-30,instagram,265,265,122.35,Sweden
2018-10-30,instagram,329,329,114.12,US
2018-10-31,facebook,232,232,106.0,Argentina
2018-10-31,google,105,105,25.48,China
2018-10-31,google,96,96,21.43,Germany
2018-10-31,google,119,119,23.57,India
2018-10-31,instagram,347,347,96.47,Brazil
2018-11-01,instagram,238,238,103.53,Canada
2018-11-01,instagram,568,568,212.94,US
2018-11-02,facebook,176,176,114.0,Germany
2018-11-03,facebook,166,166,115.0,China
2018-11-03,instagram,315,315,94.12,Brazil
2018-11-04,facebook,174,174,117.0,Sweden
2018-11-04,instagram,315,315,110.59,Argentina
2018-11-04,instagram,347,347,136.47,India
2018-11-05,google,124,124,22.62,US
2018-11-05,instagram,294,294,98.82,Argentina
2018-11-05,instagram,288,288,98.82,US
2018-11-06,instagram,573,573,223.53,China
2018-11-06,instagram,318,318,105.88,US
2018-11-07,google,106,106,27.14,China
2018-11-08,facebook,188,188,87.0,US
2018-11-08,google,131,131,25.0,Canada
2018-11-08,instagram,282,282,137.65,France
2018-11-08,instagram,279,279,102.35,UK
2018-11-09,facebook,230,230,116.0,China
2018-11-09,google,120,120,24.05,Sweden
2018-11-10,facebook,190,190,117.0,Brazil
2018-11-10,facebook,224,224,115.0,Sweden
2018-11-10,instagram,324,324,122.35,China
2018-11-10,instagram,332,332,97.65,US
2018-11-11,facebook,378,378,197.0,China
2018-11-11,facebook,230,230,119.0,US
2018-11-11,instagram,306,306,109.41,Sweden
2018-11-11,instagram,341,341,107.06,UK
2018-11-11,instagram,306,306,111.76,US
2018-11-12,instagram,306,306,120.0,US
2018-11-13,facebook,192,192,81.0,Canada
2018-11-13,facebook,196,196,94.0,China
2018-11-13,facebook,172,172,116.0,Danmark
2018-11-13,facebook,208,208,104.0,France
2018-11-13,facebook,230,230,94.0,UK
2018-11-13,google,104,104,24.76,China
2018-11-13,instagram,532,532,264.71,China
2018-11-14,facebook,212,212,110.0,China
2018-11-14,facebook,198,198,100.0,India
2018-11-14,facebook,172,172,86.0,US
2018-11-14,instagram,282,282,117.65,Canada
2018-11-15,facebook,178,178,90.0,Canada
2018-11-15,facebook,232,232,113.0,China
2018-11-15,facebook,176,176,108.0,Germany
2018-11-15,google,121,121,21.19,US
2018-11-15,instagram,294,294,102.35,China
2018-11-15,instagram,329,329,140.0,India
2018-11-16,facebook,220,220,80.0,Canada
2018-11-16,facebook,206,206,92.0,France
2018-11-16,google,110,110,23.33,France
2018-11-16,instagram,253,253,114.12,Brazil
2018-11-16,instagram,256,256,123.53,US
2018-11-19,google,105,105,20.95,Germany
2018-11-19,instagram,664,664,214.12,Argentina
2018-11-19,instagram,315,315,104.71,Canada
2018-11-19,instagram,297,297,117.65,UK
2018-11-20,facebook,178,178,105.0,Canada
2018-11-20,google,121,121,24.05,China
2018-11-20,instagram,247,247,116.47,US
2018-11-21,facebook,214,214,109.0,Germany
2018-11-21,google,96,96,26.19,China
2018-11-21,instagram,238,238,116.47,China
2018-11-21,instagram,259,259,95.29,Danmark
2018-11-21,instagram,321,321,100.0,Spain
2018-11-21,instagram,326,326,103.53,UK
2018-11-22,facebook,172,172,112.0,Spain
2018-11-22,instagram,326,326,94.12,Argentina
2018-11-22,instagram,247,247,109.41,Canada
2018-11-22,instagram,309,309,134.12,China
2018-11-22,instagram,306,306,112.94,US
2018-11-23,instagram,247,247,110.59,Canada
2018-11-23,instagram,324,324,120.0,China
2018-11-23,instagram,338,338,130.59,France
2018-11-23,instagram,347,347,103.53,Germany
2018-11-23,instagram,244,244,94.12,UK
2018-11-24,facebook,172,172,104.0,UK
2018-11-24,google,138,138,27.86,Argentina
2018-11-24,google,108,108,21.9,Canada
2018-11-25,facebook,194,194,92.0,France
2018-11-25,instagram,297,297,134.12,Sweden
2018-11-26,instagram,329,329,101.18,France
2018-11-26,instagram,350,350,100.0,US
2018-11-27,facebook,160,160,113.0,Germany
2018-11-27,facebook,180,180,100.0,Spain
2018-11-27,instagram,288,288,112.94,Brazil
2018-11-27,instagram,265,265,97.65,US
2018-11-28,facebook,196,196,108.0,China
2018-11-28,instagram,265,265,118.82,India
2018-11-28,instagram,335,335,130.59,US
2018-11-29,instagram,276,276,105.88,Brazil
2018-11-29,instagram,271,271,116.47,India
2018-11-29,instagram,279,279,116.47,US
2018-11-30,facebook,192,192,102.0,Brazil
2018-11-30,facebook,216,216,112.0,US
2018-11-30,instagram,338,338,134.12,UK
2018-12-01,facebook,186,186,109.0,US
2018-12-01,google,240,240,47.38,US
2018-12-02,instagram,238,238,130.59,US
2018-12-03,facebook,194,194,119.0,UK
2018-12-04,facebook,220,220,106.0,US
2018-12-04,instagram,276,276,131.76,Brazil
2018-12-04,instagram,291,291,136.47,Canada
2018-12-04,instagram,265,265,117.65,UK
2018-12-04,instagram,256,256,111.76,US
2018-12-05,facebook,182,182,80.0,US
2018-12-05,google,96,96,25.71,US
2018-12-05,instagram,636,636,230.59,India
2018-12-05,instagram,332,332,128.24,Spain
2018-12-05,instagram,294,294,104.71,US
2018-12-06,google,112,112,22.14,Sweden
2018-12-06,instagram,332,332,102.35,Brazil
2018-12-06,instagram,282,282,109.41,Danmark
2018-12-06,instagram,274,274,101.18,India
2018-12-06,instagram,321,321,128.24,UK
2018-12-09,facebook,238,238,82.0,Germany
2018-12-10,facebook,626,626,325.0,India
2018-12-10,google,120,120,26.9,China
2018-12-10,instagram,285,285,137.65,UK
2018-12-10,instagram,324,324,125.88,US
2018-12-11,facebook,236,236,92.0,UK
2018-12-11,google,132,132,24.76,UK
2018-12-11,instagram,282,282,102.35,Canada
2018-12-11,instagram,303,303,115.29,Germany
2018-12-12,facebook,188,188,99.0,Germany
2018-12-12,facebook,160,160,109.0,UK
2018-12-13,facebook,208,208,104.0,Canada
2018-12-13,facebook,196,196,93.0,China
2018-12-13,instagram,324,324,120.0,Brazil
2018-12-13,instagram,306,306,124.71,India
2018-12-13,instagram,291,291,138.82,US
2018-12-14,instagram,294,294,123.53,Germany
2018-12-14,instagram,279,279,103.53,India
2018-12-15,facebook,188,188,116.0,China
2018-12-15,facebook,234,234,103.0,UK
2018-12-15,google,108,108,20.71,Brazil
2018-12-15,instagram,247,247,118.82,China
2018-12-15,instagram,335,335,98.82,Danmark
2018-12-15,instagram,344,344,132.94,US
2018-12-16,facebook,234,234,97.0,Brazil
2018-12-16,facebook,172,172,81.0,Germany
2018-12-16,google,129,129,26.43,UK
2018-12-17,instagram,235,235,107.06,Canada
2018-12-18,google,110,110,26.19,Argentina
2018-12-18,google,123,123,27.14,Germany
2018-12-18,instagram,244,244,132.94,France
2018-12-19,google,126,126,24.05,Brazil
2018-12-19,instagram,326,326,134.12,Canada
2018-12-19,instagram,271,271,115.29,China
2018-12-20,google,140,140,27.14,China
2018-12-20,google,101,101,20.95,India
2018-12-20,instagram,288,288,117.65,China
2018-12-20,instagram,332,332,112.94,India
2018-12-20,instagram,332,332,135.29,Sweden
2018-12-21,google,127,127,25.24,US
2018-12-21,instagram,238,238,125.88,China
2018-12-22,facebook,216,216,98.0,Argentina
2018-12-22,google,125,125,20.95,UK
2018-12-23,facebook,364,364,188.0,UK
2018-12-23,google,104,104,21.19,Brazil
2018-12-23,google,119,119,20.95,Sweden
2018-12-24,facebook,196,196,80.0,India
2018-12-24,google,123,123,27.86,Canada
2018-12-24,google,136,136,19.52,UK
2018-12-24,instagram,338,338,112.94,US
