date,city,ad_channel,cost,number_of_clients
2023-09-05,Санкт-Петербург,tv,828.94,61
2023-09-03,Казань,tv,512.29,33
2023-09-05,Москва,youtube,2210.59,50
2023-09-02,Санкт-Петербург,instagram,4420.93,71
2023-09-01,Москва,google,801.9,87
2023-09-04,Санкт-Петербург,influencers,4566.6,52
2023-09-04,Москва,youtube,889.93,55
2023-09-01,Москва,facebook,1463.2,4
2023-09-04,Москва,tv,2029.13,90
2023-09-02,Санкт-Петербург,influencers,299.67,9
2023-09-03,Санкт-Петербург,instagram,2078.55,49
2023-09-03,Москва,google,2288.61,92
2023-09-01,Санкт-Петербург,facebook,2175.01,76
2023-09-02,Санкт-Петербург,facebook,308.89,25
2023-09-05,Москва,influencers,3993.46,93
2023-09-02,Санкт-Петербург,facebook,500.72,92
2023-09-05,Москва,instagram,1067.03,94
2023-09-01,Москва,google,282.77,71
2023-09-02,Казань,google,663.72,33
2023-09-05,Санкт-Петербург,facebook,2998.39,31
2023-09-02,Москва,tv,185.03,25
2023-09-02,Москва,influencers,1857.77,22
2023-09-04,Москва,google,1579.31,43
2023-09-01,Москва,influencers,2909.75,22
2023-09-01,Москва,facebook,4429.34,29
2023-09-03,Санкт-Петербург,tv,3409.42,41
2023-09-02,Москва,influencers,3429.19,14
2023-09-02,Нижний Новгород,google,3059.38,91
2023-09-04,Нижний Новгород,instagram,2367.6,1
2023-09-01,Санкт-Петербург,influencers,3885.89,11
2023-09-03,Москва,tv,4228.42,84
2023-09-03,Санкт-Петербург,google,2399.46,1
2023-09-01,Москва,influencers,2805.89,70
2023-09-02,Екатеринбург,influencers,608.67,59
2023-09-04,Москва,google,625.19,1
2023-09-03,Москва,google,2158.68,65
2023-09-04,Нижний Новгород,facebook,609.08,13
2023-09-04,Москва,instagram,1832.2,64
2023-09-03,Санкт-Петербург,facebook,2324.67,85
2023-09-01,Москва,instagram,659.44,47
2023-09-04,Челябинск,influencers,1639.46,55
2023-09-05,Москва,instagram,2550.27,26
2023-09-01,Москва,facebook,4176.37,12
2023-09-02,Москва,facebook,1415.33,99
2023-09-04,Москва,tv,2656.9,42
2023-09-05,Санкт-Петербург,influencers,3685.82,39
2023-09-03,Москва,tv,1372.95,6
2023-09-05,Москва,instagram,3921.46,1
2023-09-01,Москва,tv,2664.0,23
2023-09-05,Челябинск,tv,4219.11,15
2023-09-03,Москва,facebook,1019.18,1
2023-09-03,Санкт-Петербург,google,4295.22,87
2023-09-05,Москва,facebook,2632.42,87
2023-09-04,Санкт-Петербург,instagram,4079.53,74
2023-09-02,Челябинск,facebook,827.94,6
2023-09-02,Санкт-Петербург,facebook,747.53,33
2023-09-01,Москва,tv,2610.45,57
2023-09-04,Ростов-на-Дону,instagram,3710.47,65
2023-09-03,Уфа,youtube,2928.64,1
2023-09-03,Москва,facebook,4257.05,47
2023-09-02,Санкт-Петербург,tv,2073.38,16
2023-09-04,Екатеринбург,facebook,3254.61,64
2023-09-04,Москва,youtube,4602.22,72
2023-09-04,Москва,instagram,3934.07,24
2023-09-05,Москва,influencers,4610.62,73
2023-09-02,Уфа,influencers,1069.03,2
2023-09-02,Москва,google,1943.25,18
2023-09-01,Санкт-Петербург,youtube,4241.97,1
2023-09-02,Москва,google,2592.65,39
2023-09-01,Санкт-Петербург,influencers,4539.16,17
2023-09-05,Москва,tv,1566.16,7
2023-09-04,Уфа,google,832.83,3
2023-09-02,Москва,youtube,2039.7,61
2023-09-01,Москва,youtube,4613.04,78
2023-09-01,Санкт-Петербург,instagram,3436.02,63
2023-09-03,Челябинск,facebook,2251.3,85
2023-09-01,Санкт-Петербург,tv,907.45,27
2023-09-01,Санкт-Петербург,influencers,4395.29,100
2023-09-05,Москва,google,3061.44,66
2023-09-02,Москва,influencers,3304.0,36
2023-09-02,Новосибирск,google,1134.01,92
2023-09-02,Москва,google,2320.03,25
2023-09-05,Санкт-Петербург,google,4240.27,83
2023-09-04,Ростов-на-Дону,facebook,1579.42,47
2023-09-02,Москва,tv,4290.71,97
2023-09-04,Санкт-Петербург,influencers,4710.35,87
2023-09-05,Санкт-Петербург,instagram,1091.7,46
2023-09-05,Уфа,google,1569.96,79
2023-09-01,Москва,influencers,1589.4,99
2023-09-02,Санкт-Петербург,youtube,2322.57,74
2023-09-01,Санкт-Петербург,tv,1235.12,94
2023-09-03,Москва,influencers,4957.1,10
2023-09-02,Москва,influencers,2223.85,39
2023-09-04,Москва,facebook,876.72,10
2023-09-04,Москва,tv,1042.88,17
2023-09-01,Москва,google,2400.21,41
2023-09-04,Москва,influencers,3936.09,42
2023-09-04,Москва,facebook,2408.77,44
2023-09-02,Санкт-Петербург,google,289.7,12
2023-09-01,Санкт-Петербург,instagram,2372.58,47
2023-09-01,Омск,tv,838.88,60
2023-09-03,Санкт-Петербург,google,1387.37,15
2023-09-05,Омск,instagram,2537.82,89
2023-09-01,Москва,instagram,4162.53,41
2023-09-02,Москва,instagram,1090.82,97
2023-09-01,Москва,instagram,1598.29,86
2023-09-05,Москва,google,466.9,49
2023-09-03,Москва,youtube,4734.51,31
2023-09-03,Москва,influencers,3740.36,2
2023-09-02,Москва,instagram,3470.69,96
2023-09-01,Москва,influencers,4213.8,6
2023-09-03,Москва,facebook,4402.5,42
2023-09-05,Санкт-Петербург,youtube,1053.59,97
2023-09-03,Москва,google,4594.34,39
2023-09-04,Ростов-на-Дону,tv,4278.82,80
2023-09-01,Санкт-Петербург,youtube,2693.23,54
2023-09-02,Москва,tv,4466.51,14
2023-09-05,Санкт-Петербург,google,3064.41,39
2023-09-02,Москва,google,4577.56,75
2023-09-04,Санкт-Петербург,facebook,3172.8,55
2023-09-01,Челябинск,google,3627.62,93
2023-09-03,Москва,influencers,1176.14,55
2023-09-04,Санкт-Петербург,influencers,1783.63,77
2023-09-05,Нижний Новгород,google,1892.24,97
2023-09-04,Москва,influencers,290.02,61
2023-09-04,Ростов-на-Дону,tv,2300.31,85
2023-09-04,Москва,tv,411.0,91
2023-09-01,Челябинск,influencers,3870.53,76
2023-09-03,Уфа,google,1841.1,12
2023-09-05,Казань,google,4078.78,79
2023-09-01,Самара,facebook,1440.07,60
2023-09-03,Омск,instagram,3684.06,87
2023-09-02,Москва,youtube,2171.39,84
2023-09-04,Санкт-Петербург,google,2363.13,23
2023-09-01,Санкт-Петербург,tv,1877.79,28
2023-09-05,Москва,facebook,2865.01,58
2023-09-04,Москва,influencers,1283.7,38
2023-09-04,Москва,tv,2971.96,7
2023-09-03,Москва,facebook,3141.34,6
2023-09-05,Санкт-Петербург,facebook,1272.59,36
2023-09-03,Омск,tv,2854.65,29
2023-09-01,Санкт-Петербург,google,951.22,99
2023-09-05,Москва,influencers,1907.99,71
2023-09-02,Ростов-на-Дону,youtube,904.21,12
2023-09-04,Санкт-Петербург,tv,4238.17,30
2023-09-01,Москва,instagram,1552.11,51
2023-09-04,Москва,instagram,1448.04,45
2023-09-05,Екатеринбург,youtube,3436.83,36
2023-09-04,Москва,tv,76.53,90
2023-09-01,Екатеринбург,instagram,2897.21,7
2023-09-03,Санкт-Петербург,tv,1240.12,51
2023-09-03,Москва,influencers,289.88,1
2023-09-02,Санкт-Петербург,youtube,2705.9,15
2023-09-01,Казань,youtube,4932.16,51
2023-09-01,Москва,instagram,1663.93,71
2023-09-03,Москва,instagram,77.09,75
2023-09-03,Москва,youtube,2413.74,100
2023-09-05,Москва,youtube,395.44,72
2023-09-04,Москва,instagram,269.22,59
2023-09-04,Санкт-Петербург,influencers,2892.88,96
2023-09-02,Москва,facebook,1680.98,57
2023-09-02,Санкт-Петербург,instagram,1522.89,39
2023-09-05,Москва,facebook,958.71,1
2023-09-04,Москва,google,304.51,91
2023-09-03,Москва,google,4892.12,73
2023-09-01,Москва,facebook,4872.12,78
2023-09-02,Москва,youtube,2948.04,86
2023-09-05,Москва,tv,1442.47,4
2023-09-02,Москва,google,629.73,76
2023-09-03,Москва,tv,2213.71,34
2023-09-04,Санкт-Петербург,google,3663.72,99
2023-09-02,Москва,influencers,2927.94,68
2023-09-01,Екатеринбург,influencers,1080.65,10
2023-09-04,Новосибирск,tv,2454.66,34
2023-09-04,Москва,youtube,79.25,84
2023-09-01,Москва,influencers,4469.39,26
2023-09-04,Москва,facebook,1616.65,16
2023-09-03,Москва,tv,2719.01,70
2023-09-01,Москва,tv,1569.39,92
2023-09-05,Санкт-Петербург,influencers,773.93,54
2023-09-05,Санкт-Петербург,google,3089.01,61
2023-09-05,Москва,facebook,181.6,69
2023-09-03,Санкт-Петербург,facebook,1335.63,93
2023-09-02,Москва,influencers,3409.05,51
2023-09-01,Новосибирск,tv,2173.25,31
2023-09-03,Новосибирск,youtube,2484.14,63
2023-09-02,Москва,instagram,3740.76,91
2023-09-04,Челябинск,google,409.39,30
2023-09-02,Санкт-Петербург,influencers,2691.92,1
2023-09-02,Санкт-Петербург,tv,2398.76,2
2023-09-01,Москва,facebook,4463.83,67
2023-09-02,Самара,instagram,3396.95,23
2023-09-04,Москва,influencers,2053.66,50
2023-09-02,Москва,facebook,1114.84,83
2023-09-02,Челябинск,tv,3226.69,59
2023-09-04,Москва,google,2060.08,19
2023-09-05,Москва,google,3213.97,23
2023-09-01,Ростов-на-Дону,instagram,3361.32,93
2023-09-02,Москва,facebook,72.46,46
2023-09-05,Москва,youtube,2642.81,76
2023-09-02,Екатеринбург,google,2493.94,93
2023-09-01,Москва,google,4304.73,70
2023-09-02,Новосибирск,facebook,4562.22,76
2023-09-01,Москва,influencers,1369.6,73
2023-09-01,Москва,youtube,4352.25,76
2023-09-03,Санкт-Петербург,instagram,4683.14,6
2023-09-04,Москва,instagram,1043.83,39
2023-09-03,Москва,instagram,3126.13,31
2023-09-05,Москва,google,3565.46,88
2023-09-04,Москва,influencers,4153.69,60
2023-09-04,Санкт-Петербург,tv,423.71,75
2023-09-04,Санкт-Петербург,youtube,3280.96,45
2023-09-01,Санкт-Петербург,google,4771.99,64
2023-09-03,Санкт-Петербург,instagram,1312.09,2
2023-09-03,Казань,youtube,2069.6,21
2023-09-01,Москва,influencers,4792.08,26
2023-09-05,Омск,tv,2064.63,70
2023-09-04,Москва,instagram,1814.97,70
2023-09-05,Санкт-Петербург,facebook,1637.55,59
2023-09-03,Москва,youtube,923.76,68
2023-09-02,Нижний Новгород,google,2468.48,48
2023-09-01,Москва,youtube,2931.91,59
2023-09-04,Екатеринбург,tv,617.19,97
2023-09-03,Москва,influencers,1095.14,5
2023-09-03,Санкт-Петербург,google,3139.8,20
2023-09-04,Уфа,tv,2593.15,28
2023-09-02,Москва,instagram,4075.66,25
2023-09-02,Санкт-Петербург,instagram,2386.06,35
2023-09-03,Санкт-Петербург,youtube,3375.43,58
2023-09-01,Москва,google,3428.24,40
2023-09-02,Москва,influencers,1175.15,80
2023-09-03,Москва,tv,3617.38,51
2023-09-04,Казань,tv,737.13,37
2023-09-04,Нижний Новгород,tv,3857.19,30
2023-09-04,Москва,youtube,2017.6,19
2023-09-02,Екатеринбург,influencers,2209.82,92
2023-09-02,Челябинск,tv,3199.02,90
2023-09-01,Санкт-Петербург,youtube,4725.43,19
2023-09-02,Новосибирск,youtube,3351.61,20
2023-09-02,Москва,influencers,1626.8,94
2023-09-05,Москва,tv,957.18,68
2023-09-04,Москва,tv,4071.52,31
2023-09-01,Уфа,facebook,1570.0,12
2023-09-01,Санкт-Петербург,influencers,757.35,82
2023-09-02,Самара,tv,4207.23,82
2023-09-02,Москва,youtube,1578.89,32
2023-09-02,Москва,youtube,421.11,77
2023-09-01,Москва,instagram,4503.01,16
2023-09-03,Санкт-Петербург,influencers,4098.7,13
2023-09-01,Нижний Новгород,facebook,94.43,19
2023-09-01,Москва,tv,382.98,54
2023-09-02,Москва,tv,4357.78,91
2023-09-02,Москва,influencers,332.89,67
2023-09-04,Санкт-Петербург,influencers,980.24,16
2023-09-03,Санкт-Петербург,influencers,90.18,48
2023-09-04,Санкт-Петербург,youtube,119.45,10
2023-09-01,Москва,facebook,2061.51,10
2023-09-01,Санкт-Петербург,google,918.74,4
2023-09-01,Новосибирск,youtube,1071.15,89
2023-09-01,Москва,influencers,2992.16,96
2023-09-03,Москва,influencers,462.18,29
2023-09-04,Москва,instagram,3323.04,47
2023-09-02,Москва,facebook,637.45,79
2023-09-01,Санкт-Петербург,facebook,1320.31,78
2023-09-03,Москва,google,2923.61,10
2023-09-05,Санкт-Петербург,facebook,3657.3,74
2023-09-03,Москва,youtube,3797.42,32
2023-09-03,Нижний Новгород,influencers,4976.5,93
2023-09-03,Санкт-Петербург,youtube,3266.67,41
2023-09-03,Москва,facebook,3316.87,44
2023-09-01,Ростов-на-Дону,influencers,3217.09,24
2023-09-02,Москва,youtube,3142.36,67
2023-09-02,Санкт-Петербург,influencers,1615.67,62
2023-09-03,Новосибирск,influencers,1016.47,91
2023-09-02,Москва,instagram,3432.49,67
2023-09-01,Москва,facebook,1456.14,48
2023-09-04,Москва,tv,505.56,100
2023-09-01,Москва,influencers,434.09,65
2023-09-05,Ростов-на-Дону,influencers,779.84,19
2023-09-04,Москва,influencers,4353.65,43
2023-09-01,Москва,influencers,495.26,29
2023-09-01,Нижний Новгород,influencers,1971.83,53
2023-09-01,Москва,instagram,673.71,57
2023-09-03,Санкт-Петербург,google,2898.62,26
2023-09-04,Ростов-на-Дону,google,2473.67,55
2023-09-03,Москва,tv,2578.32,46
2023-09-02,Омск,facebook,3021.19,70
2023-09-04,Москва,tv,3218.09,60
2023-09-04,Санкт-Петербург,influencers,1583.0,74
2023-09-04,Москва,influencers,3660.02,53
2023-09-02,Москва,google,2608.69,86
2023-09-02,Москва,tv,2014.14,3
2023-09-05,Санкт-Петербург,tv,2684.7,73
2023-09-04,Москва,instagram,3367.78,57
2023-09-01,Новосибирск,tv,4644.9,20
2023-09-03,Москва,youtube,1163.66,9
2023-09-05,Санкт-Петербург,instagram,2452.52,20
2023-09-02,Москва,influencers,3187.26,63
2023-09-02,Москва,influencers,4922.83,21
2023-09-03,Москва,facebook,4707.96,39
2023-09-05,Санкт-Петербург,youtube,4145.43,59
2023-09-01,Москва,tv,3056.77,95
2023-09-01,Москва,instagram,1899.98,72
2023-09-02,Челябинск,instagram,3049.6,80
2023-09-05,Новосибирск,tv,4379.97,3
2023-09-04,Москва,influencers,4267.3,49
2023-09-04,Санкт-Петербург,facebook,982.29,48
2023-09-03,Уфа,facebook,3911.87,48
2023-09-02,Казань,youtube,4988.95,95
2023-09-03,Москва,facebook,1506.72,87
2023-09-05,Санкт-Петербург,youtube,4335.98,36
2023-09-05,Москва,youtube,4516.42,5
2023-09-03,Санкт-Петербург,youtube,4334.18,82
2023-09-03,Санкт-Петербург,google,2479.19,25
2023-09-03,Москва,facebook,1681.91,28
2023-09-04,Санкт-Петербург,google,2249.04,87
2023-09-04,Новосибирск,influencers,1929.1,62
2023-09-01,Санкт-Петербург,tv,522.36,6
2023-09-04,Санкт-Петербург,youtube,1551.96,58
2023-09-02,Москва,influencers,3290.12,36
2023-09-01,Москва,instagram,2803.42,66
2023-09-03,Москва,tv,3819.01,8
2023-09-01,Санкт-Петербург,tv,2245.91,85
2023-09-03,Москва,tv,4645.98,68
2023-09-05,Москва,google,2072.38,75
2023-09-04,Нижний Новгород,facebook,2351.05,26
2023-09-05,Санкт-Петербург,youtube,2419.37,81
2023-09-03,Санкт-Петербург,instagram,760.66,98
2023-09-01,Москва,influencers,2804.35,17
2023-09-05,Москва,tv,1594.67,40
2023-09-02,Нижний Новгород,youtube,300.62,7
2023-09-03,Екатеринбург,youtube,2226.11,72
2023-09-02,Москва,youtube,4862.51,77
2023-09-04,Самара,youtube,3927.07,45
2023-09-01,Казань,youtube,588.72,6
2023-09-02,Москва,instagram,2344.25,58
2023-09-01,Москва,tv,804.58,43
2023-09-01,Санкт-Петербург,facebook,878.03,29
2023-09-05,Москва,influencers,4698.79,29
2023-09-05,Москва,influencers,948.1,96
2023-09-03,Москва,facebook,1010.29,46
2023-09-01,Москва,facebook,2897.68,79
2023-09-03,Челябинск,influencers,992.7,42
2023-09-02,Новосибирск,google,3530.51,26
2023-09-01,Москва,facebook,2196.15,11
2023-09-03,Москва,instagram,138.91,39
2023-09-03,Самара,instagram,128.11,66
2023-09-03,Екатеринбург,google,2170.52,55
2023-09-02,Уфа,facebook,1755.7,85
2023-09-03,Санкт-Петербург,google,2076.69,42
2023-09-01,Санкт-Петербург,facebook,3885.92,62
2023-09-01,Москва,facebook,3264.66,95
2023-09-01,Москва,youtube,4784.19,4
2023-09-03,Ростов-на-Дону,influencers,2193.45,40
2023-09-01,Москва,google,724.59,6
2023-09-04,Москва,google,109.74,68
2023-09-01,Москва,youtube,3400.73,91
2023-09-02,Москва,influencers,4027.26,76
2023-09-04,Санкт-Петербург,influencers,3188.78,83
2023-09-05,Омск,facebook,134.19,21
2023-09-05,Москва,youtube,3817.35,78
2023-09-03,Санкт-Петербург,youtube,931.84,6
2023-09-05,Москва,instagram,394.61,76
2023-09-03,Новосибирск,influencers,3776.55,31
2023-09-02,Санкт-Петербург,facebook,1929.32,26
2023-09-02,Москва,google,2018.34,22
2023-09-04,Москва,tv,3034.73,33
2023-09-03,Москва,instagram,1836.16,84
2023-09-04,Санкт-Петербург,youtube,1810.73,47
2023-09-04,Москва,youtube,3833.61,55
2023-09-02,Москва,facebook,3941.9,80
2023-09-01,Омск,youtube,4793.41,7
2023-09-03,Самара,youtube,668.33,29
2023-09-03,Санкт-Петербург,tv,478.08,11
2023-09-04,Москва,instagram,1159.3,98
2023-09-03,Москва,facebook,933.13,69
2023-09-02,Москва,instagram,3966.36,89
2023-09-04,Москва,instagram,2258.68,10
2023-09-02,Екатеринбург,youtube,4277.55,77
2023-09-04,Москва,instagram,53.32,26
2023-09-05,Москва,youtube,4437.67,31
2023-09-04,Самара,facebook,2048.65,67
2023-09-04,Москва,facebook,1575.8,63
2023-09-04,Санкт-Петербург,tv,4422.2,62
2023-09-02,Москва,youtube,2056.04,14
2023-09-01,Санкт-Петербург,instagram,2717.26,57
2023-09-02,Москва,tv,2531.29,19
2023-09-04,Москва,youtube,1410.83,57
2023-09-01,Новосибирск,youtube,1344.19,10
2023-09-02,Москва,tv,2926.66,47
2023-09-01,Екатеринбург,google,2611.2,30
2023-09-05,Москва,google,2954.12,8
2023-09-05,Санкт-Петербург,influencers,51.44,43
2023-09-02,Москва,facebook,2701.35,21
2023-09-01,Санкт-Петербург,instagram,1196.59,79
2023-09-03,Омск,influencers,2038.89,77
2023-09-01,Санкт-Петербург,instagram,3547.6,63
2023-09-04,Омск,facebook,4540.38,41
2023-09-01,Санкт-Петербург,facebook,131.56,47
2023-09-02,Екатеринбург,google,2218.09,72
2023-09-02,Уфа,tv,677.05,50
2023-09-01,Санкт-Петербург,google,1391.22,88
2023-09-02,Москва,facebook,250.94,72
2023-09-03,Москва,instagram,76.63,84
2023-09-02,Новосибирск,facebook,918.05,26
2023-09-02,Санкт-Петербург,instagram,4181.46,33
2023-09-01,Ростов-на-Дону,influencers,65.85,69
2023-09-04,Москва,google,2577.1,96
2023-09-02,Москва,tv,2501.6,73
2023-09-05,Санкт-Петербург,tv,4666.12,42
2023-09-03,Ростов-на-Дону,instagram,1878.7,89
2023-09-05,Москва,youtube,3201.7,37
2023-09-04,Омск,facebook,1976.25,12
2023-09-02,Санкт-Петербург,youtube,3559.71,21
2023-09-01,Челябинск,facebook,3042.87,61
2023-09-05,Москва,facebook,317.46,79
2023-09-04,Москва,google,1259.21,100
2023-09-03,Москва,facebook,4725.29,58
2023-09-01,Москва,influencers,3847.17,19
2023-09-04,Москва,youtube,1939.38,49
2023-09-03,Челябинск,tv,2190.8,79
2023-09-01,Москва,instagram,1525.86,91
2023-09-04,Санкт-Петербург,youtube,3051.98,5
2023-09-03,Москва,instagram,4639.13,12
2023-09-01,Москва,instagram,1431.02,44
2023-09-01,Москва,influencers,4001.31,52
2023-09-02,Екатеринбург,instagram,3652.07,69
2023-09-05,Санкт-Петербург,instagram,4282.37,90
2023-09-04,Санкт-Петербург,tv,3104.32,65
2023-09-04,Москва,influencers,1808.58,64
2023-09-03,Москва,influencers,3132.25,58
2023-09-03,Москва,instagram,1740.44,76
2023-09-03,Москва,google,3374.53,65
2023-09-03,Санкт-Петербург,tv,2642.38,96
2023-09-02,Нижний Новгород,youtube,1134.05,75
2023-09-04,Москва,facebook,257.98,23
2023-09-04,Москва,tv,4299.93,24
2023-09-01,Москва,influencers,4759.01,77
2023-09-02,Казань,instagram,4629.54,79
2023-09-03,Санкт-Петербург,influencers,3523.1,11
2023-09-03,Москва,tv,2698.24,63
2023-09-03,Ростов-на-Дону,google,3704.03,1
2023-09-01,Санкт-Петербург,influencers,4583.01,16
2023-09-05,Санкт-Петербург,youtube,1825.02,38
2023-09-01,Москва,youtube,1326.87,50
2023-09-03,Санкт-Петербург,instagram,967.98,36
2023-09-03,Москва,tv,1262.18,61
2023-09-05,Нижний Новгород,tv,3454.32,37
2023-09-01,Санкт-Петербург,google,539.23,59
2023-09-04,Санкт-Петербург,tv,3029.91,74
2023-09-02,Москва,google,1854.18,84
2023-09-05,Москва,instagram,3544.46,57
2023-09-05,Москва,influencers,3402.93,37
2023-09-02,Санкт-Петербург,instagram,4335.86,19
2023-09-03,Санкт-Петербург,youtube,4268.33,59
2023-09-02,Екатеринбург,youtube,1728.75,2
2023-09-04,Санкт-Петербург,instagram,656.32,13
2023-09-02,Москва,tv,2406.69,24
2023-09-03,Ростов-на-Дону,tv,1999.2,8
2023-09-02,Уфа,facebook,4430.96,5
2023-09-03,Москва,google,3153.58,25
2023-09-03,Москва,tv,4622.47,39
2023-09-01,Москва,youtube,1013.17,94
2023-09-03,Уфа,influencers,3304.47,93
2023-09-01,Москва,google,4508.42,87
2023-09-04,Москва,youtube,4236.19,70
2023-09-04,Самара,facebook,200.35,16
2023-09-03,Москва,youtube,3439.26,71
2023-09-05,Челябинск,facebook,2188.43,22
2023-09-04,Москва,facebook,4825.43,65
2023-09-01,Москва,google,1317.91,56
2023-09-04,Санкт-Петербург,tv,2094.67,13
2023-09-03,Ростов-на-Дону,tv,3740.4,78
2023-09-05,Москва,youtube,2948.49,51
2023-09-03,Санкт-Петербург,google,3261.45,81
2023-09-01,Москва,google,1558.34,56
2023-09-04,Москва,instagram,1068.16,92
2023-09-01,Москва,youtube,1260.06,54
2023-09-04,Санкт-Петербург,facebook,3159.45,47
2023-09-05,Москва,facebook,2331.1,33
2023-09-01,Москва,tv,3267.26,49
2023-09-03,Москва,youtube,1973.2,29
2023-09-02,Москва,google,4632.03,60
2023-09-03,Москва,youtube,3705.39,39
2023-09-01,Москва,influencers,1473.96,76
2023-09-01,Челябинск,influencers,2249.37,6
2023-09-05,Ростов-на-Дону,facebook,4134.1,36
2023-09-05,Нижний Новгород,facebook,574.9,51
2023-09-03,Казань,influencers,3134.19,11
2023-09-03,Москва,facebook,3546.82,2
2023-09-01,Ростов-на-Дону,influencers,4840.35,31
2023-09-03,Санкт-Петербург,facebook,843.79,88
2023-09-01,Москва,tv,4472.57,20
2023-09-05,Самара,google,315.43,9
2023-09-05,Москва,google,4409.96,42
2023-09-03,Ростов-на-Дону,google,2768.6,53
2023-09-04,Москва,facebook,624.54,70
2023-09-02,Санкт-Петербург,google,4116.5,32
2023-09-01,Москва,instagram,3031.45,82
2023-09-02,Москва,instagram,4929.67,79
2023-09-05,Уфа,google,1750.04,23
2023-09-03,Казань,google,2902.56,46
2023-09-02,Уфа,instagram,999.03,67
2023-09-03,Москва,influencers,3744.97,8
2023-09-04,Санкт-Петербург,influencers,2512.38,97
2023-09-03,Москва,instagram,2223.19,60
2023-09-02,Санкт-Петербург,influencers,2081.71,71
2023-09-04,Казань,facebook,3692.94,35
2023-09-05,Москва,influencers,548.15,19
2023-09-02,Москва,facebook,941.04,20
2023-09-01,Москва,facebook,1055.54,65
2023-09-04,Москва,tv,4967.17,13
2023-09-03,Ростов-на-Дону,google,2746.94,39
2023-09-02,Москва,google,566.02,40
2023-09-05,Новосибирск,instagram,1633.68,30
2023-09-04,Москва,tv,1427.56,40
2023-09-02,Нижний Новгород,tv,4941.03,87
2023-09-01,Санкт-Петербург,tv,2882.53,62
2023-09-01,Санкт-Петербург,google,3991.8,81
2023-09-03,Москва,facebook,859.79,91
2023-09-02,Ростов-на-Дону,facebook,4678.77,14
2023-09-03,Москва,google,2488.6,48
2023-09-05,Москва,youtube,1422.51,25
2023-09-04,Москва,influencers,2999.39,13
2023-09-04,Санкт-Петербург,instagram,1540.07,17
2023-09-03,Санкт-Петербург,youtube,3858.59,5
